Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of invasions,1978 invasion of Cambodia,Invading forces: Vietnam; Defending forces: Cambodia,1978,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1978 invasion of Tanzania,Invading forces: Uganda; Defending forces: Tanzania,1978,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1978 invasion of Lebanon,Invading forces: Israel; Defending forces: Palestine Liberation Organization,1978,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1977 invasion of Ethiopia,Invading forces: Somalia; Defending forces: Ethiopia,1977,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1976 invasion of Lebanon,Invading forces: Syria; Defending forces: Lebanon,1976,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1975 invasion of East Timor,Invading forces: Indonesia; Defending forces: East Timor,1975,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1975 invasion of Spanish Sahara,Invading forces: Morocco; Defending forces: Spain,1975,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1975 invasion of Koh Poulo Wai,Invading forces: Vietnam; Defending forces: Cambodia,1975,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1975 invasion of Thổ Chu Islands,Invading forces: Cambodia; Defending forces: Vietnam,1975,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1975 invasion of South Vietnam,Invading forces: North Vietnam; Defending forces: South Vietnam,1975,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1974 invasion of Cyprus,Invading forces: Turkey; Defending forces: Cyprus,1974,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1974 invasion of Paracel Islands,Invading forces: China; Defending forces: South Vietnam,1974,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1973 Invasion of Israel,Invading forces: Egypt Syria; Defending forces: Israel,1973,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1972 invasion of South Vietnam,Invading forces: North Vietnam; Defending forces: South Vietnam,1972,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1971 invasion of Laos,Invading forces: South Vietnam United States; Defending forces: North Vietnam,1971,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1971 invasion of Pakistan and East Pakistan,Invading forces: India; Defending forces: Pakistan,1971,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1970 invasion of Cambodia,Invading forces: United States South Vietnam; Defending forces: North Vietnam,1970,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1970 invasion of Cambodia,Invading forces: North Vietnam; Defending forces: Khmer Republic,1970,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1968 invasion of Czechoslovakia,Invading forces: Soviet Union Bulgaria Hungary Poland; Defending forces: Czechoslovakia,1968,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1968 invasion of South Vietnam,Invading forces: North Vietnam National Liberation Front Soviet Union; Defending forces: South Vietnam United States,1968,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1967 invasion of Kingdom of Sikkim Nathu La and Cho La clashes,Invading forces: China; Defending forces: India Kingdom of Sikkim,1967,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1967 invasion of Egypt,Invading forces: Israel; Defending forces: Egypt,1967,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1967 invasion of Syria,Invading forces: Israel; Defending forces: Syria,1967,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1967 invasion of Jordan,Invading forces: Israel; Defending forces: Jordan,1967,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1965 counter-invasion of Pakistan,Invading forces: India; Defending forces: Pakistan,1965,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1965 invasion of Jammu and Kashmir,Invading forces: Pakistan; Defending forces: India,1965,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1965 invasion of Dominican Republic,Invading forces: United States; Defending forces: Dominican Republic,1965,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1962 invasion of Aksai Chin and Arunachal Pradesh,Invading forces: China; Defending forces: India,1962,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1961 invasion of New Guinea,Invading forces: Indonesia; Defending forces: Netherlands,1961,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1961 Indian annexation of Goa,Invading forces: India; Defending forces: Portugal,1961,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1961 invasion of Cuba,Invading forces: United States DRF; Defending forces: Cuba,1961,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1958 invasion of Laos,Invading forces: North Vietnam; Defending forces: Laos,1958,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1957 invasion of Spanish Sahara,Invading forces: Morocco; Defending forces: Spain Spanish Sahara France,1957,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1956 invasion of Hungary,Invading forces: Soviet Union; Defending forces: Hungary,1956,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1956 invasion of Egypt,Invading forces: France United Kingdom Israel; Defending forces: Egypt,1956,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1954 Indian annexation of Dadra and Nagar Haveli,Invading forces: India; Defending forces: Portugal,1954,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1950 invasion of South Korea,Invading forces: North Korea; Defending forces: South Korea,1950,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1950 invasion of Tibet,Invading forces: China; Defending forces: Tibet,1950,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1948 Indian annexation of Hyderabad,Invading forces: India; Defending forces: Hyderabad State,1948,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1948 occupation of Palestine,Invading forces: Israel; Defending forces: Palestine,1948,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1947 invasion of Jammu and Kashmir,Invading forces: Pakistan; Defending forces: India Jammu and Kashmir,1947,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1946 invasion of Vietnam,Invading forces: France; Defending forces: Vietnam,1946,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1945 invasion of Vietnam,Invading forces: France; Defending forces: Vietnam,1945,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,1945 invasion of Indonesia,Invading forces: Netherlands; Defending forces: Indonesia,1945,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
