Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Nauru - 1994,"Other developing countries; Nauru in default with FC_Bonds, Other_Official_Creditors, FC_Bank_Loans",1994,2021,293.3001707,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nepal - 1986,"Other developing countries; Nepal in default with Other_Official_Creditors, Private_Creditors",1986,2001,19.858,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nepal - 2010,Other developing countries; Nepal in default with Other_Official_Creditors,2010,2010,0.3680279,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nepal - 2012,Other developing countries; Nepal in default with Other_Official_Creditors,2012,2012,4.6499287,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nepal - 2020,Other developing countries; Nepal in default with Other_Official_Creditors,2020,2020,12.5497646,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nicaragua - 1973,HIPC countries; Nicaragua in default with Other_Official_Creditors,1973,1973,0.13,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nicaragua - 1975,"HIPC countries; Nicaragua in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, IMF, IBRD, IDA, LC_Debt, Paris_Club, FC_Bonds",1975,2021,8193.280733,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Niger - 1971,"HIPC countries; Niger in default with Other_Official_Creditors, Private_Creditors, Paris_Club, FC_Bank_Loans, China",1971,2021,446.414461,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nigeria - 1967,Emerging/frontier markets; Nigeria in default with LC_Debt,1967,1967,290,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nigeria - 1970,"Emerging/frontier markets; Nigeria in default with Other_Official_Creditors, Private_Creditors, LC_Debt, FC_Bank_Loans, Paris_Club, FC_Bonds, China",1970,2006,30096,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nigeria - 2011,Emerging/frontier markets; Nigeria in default with Other_Official_Creditors,2011,2011,0.0015353,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nigeria - 2013,Emerging/frontier markets; Nigeria in default with Other_Official_Creditors,2013,2015,23.51958,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Nigeria - 2019,Emerging/frontier markets; Nigeria in default with Other_Official_Creditors,2019,2020,0.713,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Pakistan - 1972,"Emerging/frontier markets; Pakistan in default with Paris_Club, Other_Official_Creditors, IMF",1972,1984,650,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Pakistan - 1989,"Emerging/frontier markets; Pakistan in default with Other_Official_Creditors, Private_Creditors",1989,1991,19.724,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Pakistan - 1998,"Emerging/frontier markets; Pakistan in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club, FC_Bonds, China",1998,2004,14501.47257,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Pakistan - 2007,Emerging/frontier markets; Pakistan in default with Other_Official_Creditors,2007,2008,4.81,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Pakistan - 2019,"Emerging/frontier markets; Pakistan in default with Other_Official_Creditors, China",2019,2021,6000,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Panama - 1970,Emerging/frontier markets; Panama in default with FC_Bank_Loans,1970,1970,15,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Panama - 1980,"Emerging/frontier markets; Panama in default with Private_Creditors, FC_Bank_Loans, Other_Official_Creditors, Paris_Club, FC_Bonds, IMF, IBRD",1980,2004,4988.967955,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
