Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G83,Internally displaced persons,Internally displaced persons in 2012,Internally displaced persons in 2012,2012-01-01,2012-12-31,26387120,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2013,Internally displaced persons in 2013,2013-01-01,2013-12-31,33340830,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2014,Internally displaced persons in 2014,2014-01-01,2014-12-31,37877320,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2015,Internally displaced persons in 2015,2015-01-01,2015-12-31,40451900,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2016,Internally displaced persons in 2016,2016-01-01,2016-12-31,40220850,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2017,Internally displaced persons in 2017,2017-01-01,2017-12-31,39934042,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2018,Internally displaced persons in 2018,2018-01-01,2018-12-31,41312940,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2019,Internally displaced persons in 2019,2019-01-01,2019-12-31,45667305,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2020,Internally displaced persons in 2020,2020-01-01,2020-12-31,48027950,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2021,Internally displaced persons in 2021,2021-01-01,2021-12-31,53246765,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 2022,Internally displaced persons in 2022,2022-01-01,2022-12-31,62479565,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
