Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G82,International refugee population,# of Refugees in 1984,# of Refugees in 1984,1984-01-01,1984-12-31,10728307,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1985,# of Refugees in 1985,1985-01-01,1985-12-31,11864046,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1986,# of Refugees in 1986,1986-01-01,1986-12-31,12633964,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1987,# of Refugees in 1987,1987-01-01,1987-12-31,13128334,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1988,# of Refugees in 1988,1988-01-01,1988-12-31,14347031,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1989,# of Refugees in 1989,1989-01-01,1989-12-31,14732885,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1990,# of Refugees in 1990,1990-01-01,1990-12-31,17395914,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1991,# of Refugees in 1991,1991-01-01,1991-12-31,16854762,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1992,# of Refugees in 1992,1992-01-01,1992-12-31,17838020,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1993,# of Refugees in 1993,1993-01-01,1993-12-31,16325299,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1994,# of Refugees in 1994,1994-01-01,1994-12-31,15753494,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1995,# of Refugees in 1995,1995-01-01,1995-12-31,14895916,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1996,# of Refugees in 1996,1996-01-01,1996-12-31,13356861,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1997,# of Refugees in 1997,1997-01-01,1997-12-31,12014967,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1998,# of Refugees in 1998,1998-01-01,1998-12-31,11480438,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1999,# of Refugees in 1999,1999-01-01,1999-12-31,11686760,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2000,# of Refugees in 2000,2000-01-01,2000-12-31,12129079,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2001,# of Refugees in 2001,2001-01-01,2001-12-31,12116301,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2002,# of Refugees in 2002,2002-01-01,2002-12-31,10593526,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2003,# of Refugees in 2003,2003-01-01,2003-12-31,9592247,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2004,# of Refugees in 2004,2004-01-01,2004-12-31,9572719,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2005,# of Refugees in 2005,2005-01-01,2005-12-31,8661293,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2006,# of Refugees in 2006,2006-01-01,2006-12-31,9876879,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2007,# of Refugees in 2007,2007-01-01,2007-12-31,11390082,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2008,# of Refugees in 2008,2008-01-01,2008-12-31,10488915,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2009,# of Refugees in 2009,2009-01-01,2009-12-31,10395713,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 2010,# of Refugees in 2010,2010-01-01,2010-12-31,10548835,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
