Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G14,Crowd crushes,"Orkney Stadium Disaster - Orkney, North West, South Africa","Crush at a football match between Kaizer Chiefs and Orlando Pirates attended by about 30,000 fans in a stadium with a capacity for 23,000. When brawls broke out, people panicked, and trying to escape, were crushed against riot-control fences in the melee.",1991-01-13,1991-01-13,40,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Unnamed - Chalma sanctuary, Mexico State, Mexico","An additional 55 religious pilgrims were injured after being overwhelmed by a crowd trying to enter the atrium of the sanctuary church to receive the divine signal from the ashes. The crowd pushed on for access to the atrium, with most of the dead and injured being trampled.",1991-02-13,1991-02-13,42,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"1991 Taiyuan Illumination show crush [zh] - Jikong Bridge, Taiyuan, Shanxi Province, China","Large crowds of unknown size arrived in Yingze Park to see lanterns at a light festival. Crowds moving in opposite directions were crossing a poorly lit bridge. Some fell into the water and were drowned; others were killed in the crowd collapse and crush on the west side of the bridge. In all, 105 people were killed and 108 more were injured.",1991-09-24,1991-09-24,105,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"City College stampede - New York City, United States","At an oversold charity basketball game featuring rap stars, 29 others were injured while entering an overcrowded gymnasium while funneling through a small stairwell area at the City College of New York.",1991-12-28,1991-12-28,9,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Lan Kwai Fong Tragedy - Lan Kwai Fong, Hong Kong","67 others injured as a crowd of 15,000 to 20,000 revelers celebrated New Year's Eve in the city's nightclub district, controlled by 118 police officers. The victims were mostly teenagers and people in their 20s. The Independent reported witnesses as saying it was impossible to distinguish between the yelps of the partying crowd and the victims' agonized screams.",1993-01-01,1993-01-01,21,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"1994 Hajj stampede - Jamarat Bridge, Mecca, Saudi Arabia",Hajj pilgrims were killed and injured during a crowd crush at the Stoning of the Devil ritual.,1994-05-23,1994-05-23,270,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"1994 Gowari stampede - Nagpur, Maharashtra, India","Gowari people in a political protest, mostly women and children, perished in a crush triggered by cane-wielding police who attempted to prevent the estimated crowd of 40,000 from pressing towards the Vidan Bhavan. 500 others were injured.",1994-11-23,1994-11-23,113,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"16 October disaster - Guatemala City, Guatemala","147 others were injured on the steep stairway of Estadio Mateo Flores prior to a World Cup qualifying match between Guatemala and Costa Rica. The crowd was estimated at 50,000 in the stadium designed to seat 37,500.",1996-10-16,1996-10-16,83,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Unnamed - Mecca, Saudi Arabia","Hajj pilgrims were trampled to death, 180 more injured in an incident on the Jamarat Bridge.",1998-04-09,1998-04-09,118,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"1999 Sabarimala stampede - Sabarimala shrine, Kerala, India","When a landslide caused a cave-in during a Hindu pilgrimage on the day of Makara Jyothi, panic ensued and 200,000 male devotees panicked as the hill upon which they stood collapsed into the temple. The BBC reported that ""Some of the dead were buried in the collapse, but most died in a stampede to avoid the landslide.""",1999-01-14,1999-01-14,53,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Nyamiha stampede - Minsk, Belarus","A sudden thunderstorm caused a number of young people to race for nearby shelter during an open-air concert. The crowd was funneled toward the underpass of the Nyamiha metro station and many were killed when they started slipping on the wet pavement, falling and trampling each other.",1999-05-30,1999-05-30,53,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"""Air & Style"" crowd crush - Innsbruck, Austria","""Severe crowd accumulation"" at one exit of Bergisel Stadium went unnoticed. Darkness, a steep slope and a slippery surface were contributing factors, but ""panic did not occur at any time."" Four others were left in a vegetative state, and 38 were injured.",1999-12-04,1999-12-04,6,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Throb nightclub disaster - Chatsworth, KwaZulu-Natal, South Africa",Children killed and 100 injured after a panic that broke out after a teargas canister detonated during a party for 600 children.,2000-03-24,2000-03-24,13,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Roskilde Festival disaster - Roskilde, Denmark","Occurred as the crowd rushed the stage. Another 26 people were injured, 3 of them seriously.",2000-06-30,2000-06-30,9,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Unnamed - Harare, Zimbabwe",Spectators at a World Cup qualifier between Zimbabwe and South Africa died trying to leave the National Sports Stadium after police fired tear gas to control the crowd.,2000-07-09,2000-07-09,12,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"2001 Hajj stampede - Mina, Saudi Arabia",Hajj pilgrims trampled in a crowd crush during the Stoning of the Devil ritual.,2001-03-05,2001-03-05,35,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Ellis Park Stadium disaster - Johannesburg, South Africa",Crush during a football match between Kaizer Chiefs and Orlando Pirates,2001-04-11,2001-04-11,43,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Accra Sports Stadium disaster - Accra, Ghana",Crush at a football match between Kumasi Asante Kotoko and Accra Hearts of Oak after police fired tear gas at rioters.,2001-05-09,2001-05-09,127,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Akashi crowd crush - Akashi, Japan",247 others injured by a crowd crush after a fireworks show.,2001-07-21,2001-07-21,11,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
