Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G3,Inter-state wars,Falkland Islands,"Inter-state war: United Kingdom, Argentina",1982,1982,1001,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,War over Lebanon,"Inter-state war: Israel, Syria",1982,1982,1655,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,War over the Aouzou Strip,"Inter-state war: Chad, Libya",1986,1987,8000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Sino-Vietnamese Border War,"Inter-state war: Vietnam, China",1987,1987,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",1990,1991,41466,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",1992,1992,5240,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Azeri-Armenian,"Inter-state war: Azerbaijan, Armenia",1993,1994,14000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Cenepa Valley,"Inter-state war: Ecuador, Peru",1995,1995,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Badme Border,"Inter-state war: Eritrea, Ethiopia",1998,2000,120000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",1999,1999,5002,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Kargil War,"Inter-state war: India, Pakistan",1999,1999,1172,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",2001,2001,4002,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Invasion of Iraq,"Inter-state war: Australia, United Kingdom, United States of America, Iraq",2003,2003,7173,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
