Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
Vietnam War,Combatants: South Vietnam and allies vs. North Vietnam and alliesLocation: Vietnam,1955,1975,"1,300,000-4,300,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"[92][93][94] American casualties in the Vietnam War included 58,226 dead and 304,000 wounded. - Also known as the Second Indochina War - Includes deaths in Cambodia and Laos"
First Sudanese Civil War,Combatants: Sudan vs. South Sudanese RebelsLocation: Sudan,1955,1972,"500,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Congo Crisis,"Combatants: DRC, USA, and Belgium vs. Simba and Kwilu RebelsLocation: Congo",1960,1965,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[95]
Angolan War of Independence,Combatants: Angola vs. Portugal and South AfricaLocation: Angola,1961,1974,"83,000-103,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
North Yemen Civil War,Combatants: Kingdom of Yemen and Saudi Arabia vs. Yemen Arab Republic and United Arab RepublicLocation: Yemen,1962,1970,"100,000-200,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[96]
Mozambican War of Independence,Combatants: FRELIMO vs. PortugalLocation: Mozambique,1964,1974,"63,500-88,500",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[97]
Insurgency in Northeast India,Combatants: India and allies vs. Insurgent GroupsLocation: Northeast India,1964,present,"25,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[87]
Colombian conflict,Combatants: Colombia and allies vs. Far Left guerillas and Far Right paramilitaresLocation: Colombia,1964,present,"220,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[98]
Nigerian Civil War,Combatants: Nigeria vs. BiafraLocation: Nigeria,1967,1970,"1,000,000-3,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Biafran War
Moro conflict,Combatants: Philippines vs. Jihadist Groups vs. BangsamoroLocation: Philippines,1969,2019,"120,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[99]
Communist rebellion in the Philippines,Combatants: Philippines vs. Communist Party of the PhilippinesLocation: Philippines,1969,present,"30,000-43,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[100]
Bangladesh Liberation War,Combatants: India and Bangladesh vs. PakistanLocation: Bangladesh,1971,,"300,000-3,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[101] - Also known as the Bangladesh War of Independence
Ethiopian Civil War,"Combatants: Derg, PEDR, and Cuba vs. Anti-Communist rebel groupsLocation: Ethiopia",1974,1991,"500,000-1,500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Angolan Civil War,Combatants: MPLA and Cuba vs. UNITA and South AfricaLocation: Angola,1975,2002,"504,158+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Lebanese Civil War,Combatants: Various groupsLocation: Lebanon,1975,1990,"120,000-150,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Insurgency in Laos,"Combatants: Laos and Vietnam vs. ""Secret army"" and Hmong peopleLocation: Laos",1975,2007,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[102]
Ogaden War,Combatants: Ethiopia and Cuba vs. SomaliaLocation: Ethiopia,1977,1978,"60,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[103]
Afghanistan conflict,Combatants: see Afghanistan conflictLocation: Afghanistan,1978,present,"1,400,000-2,500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[104]
Kurdish-Turkish conflict,Combatants: Turkey vs. KCKLocation: Middle East,1978,present,"45,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[105] - Part of the Kurdish rebellions in Turkey
Soviet-Afghan War,Combatants: Soviet Union and Afghanistan vs. Insurgent groupsLocation: Afghanistan,1979,1989,"600,000-2,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[106][107][108] - Part of War in Afghanistan
Salvadoran Civil War,Combatants: El Salvador vs. FMLNLocation: El Salvador,1979,1992,"70,000-80,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[109][110]
Iran-Iraq War,Combatants: Iran and allies vs. Iraq and alliesLocation: Middle East,1980,1988,"500,000-1,500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[111]
Internal conflict in Peru,Combatants: Peru vs. PCP-SL and MRTALocation: Peru,1980,present,"70,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[112]
Ugandan Bush War,Combatants: ULNF and Tanzania vs. National Resistance ArmyLocation: Uganda,1981,1986,"100,000-500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[113][114] - Also known as the Luwero War
Second Sudanese Civil War,Combatants: Sudan vs. South Sudanese rebelsLocation: Sudan,1983,2005,"1,000,000-2,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Sri Lankan Civil War,Combatants: Sri Lanka vs. Tamil TigersLocation: Sri Lanka,1983,2009,"80,000-100,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[115]
Somali Civil War,Combatants: Varying Somali governments vs. insurgent groupsLocation: Somalia,1986,present,"300,000-500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[116][117]
Lord's Resistance Army insurgency,Combatants: Lord's Resistance Army vs. Central African statesLocation: Central Africa,1987,present,"100,000-500,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[118]
Nagorno-Karabakh conflict,"Combatants: Armenia, Nagorno-Karabakh Separatist forces and allies vs. AzerbaijanLocation: Azerbaijan",1988,present,"50,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the Armenian Separatist invasion
Gulf War,Combatants: Iraq vs. Coalition ForcesLocation: Iraq,1990,1991,"25,500-40,500",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Also known as the First Iraq War
Algerian Civil War,Combatants: Algeria vs. FIS loyalists vs. GIALocation: Algeria,1991,2002,"44,000-200,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[119]
Bosnian War,Combatants: Bosnia and Herzegovinian governments and allies vs. Republika Srpska and alliesLocation: Bosnia,1991,1995,"97,000-105,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
1991 Iraqi uprisings,Combatants: Iraq vs various rebelsLocation: Iraq,1991,,"85,000-235,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[120][121][122] - Also known as the Sha'aban Intifada
Sierra Leone Civil War,Combatants: see Sierra Leone Civil WarLocation: Sierra Leone,1991,2002,"50,000-300,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Burundian Civil War,Combatants: Burundi vs. Hutu rebels vs. Tutsi rebelsLocation: Burundi,1993,2005,"300,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[123]
First Congo War,Combatants: Zaire and allies vs. AFDL and alliesLocation: Congo,1996,1997,"250,000-800,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Second Congo War,Combatants: See Second Congo WarLocation: Central Africa,1998,2003,"2,500,000-5,400,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[124][125][126][127] - Also known as the Great War of Africa
Ituri conflict,Combatants: Lendu Tribe vs. Hemu Tribe and alliesLocation: Congo,1999,2003,"60,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[128] - Part of the Second Congo War
War on terror,Combatants: Anti-Terrorist Forces vs. Terrorist groupsLocation: Worldwide,2001,present,"272,000-1,260,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[129][130][131][132] - Also known as the Global War on Terrorism
War in Afghanistan (2001-2021),Combatants: See War in Afghanistan (2001-2021)Location: Afghanistan,2001,2021,"212,191+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[130] - Part of the War on Terror and Afghanistan conflict
Iraq War,Combatants: See Iraq WarLocation: Iraq,2003,2011,"405,000-654,965",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[131][132][130] - Also known as the Second Gulf War - Part of the War on Terror See: Casualties of the Iraq War
War in Darfur,Combatants: SRF and allies vs. Sudan and allies vs. UNAMIDLocation: Sudan,2003,present,"300,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[133]
Kivu Conflict,Combatants: see Kivu ConflictLocation: Congo,2004,present,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of the Second Congo War
Insurgency in Khyber Pakhtunkhwa,"Combatants: Pakistan, USA, and UK vs. Terrorist groupsLocation: Pakistan",2004,2017,"45,900-79,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[130] - Also known as the War in Waziristan - Part of the War on Terror and War in Afghanistan (2001-present)
Mexican drug war,Combatants: Mexico vs. Drug cartelsLocation: Mexico,2006,present,"200,000-400,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[134][135] - Also known as the Mexican War on Drugs
Boko Haram insurgency,Combatants: Multinational Joint Task Force vs. Boko HaramLocation: Nigeria,2009,present,"350,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"2,400,000 internally displaced"
Syrian civil war,Combatants: Syrian Arab Republic vs. Republic of Syria vs. ISIL vs. Syrian Democratic ForcesLocation: Syria,2011,present,"499,000-610,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,See: Casualties of the Syrian civil war
Rojava-Islamist conflict,Combatants: Syrian Democratic Forces vs. Islamic States of Iraq and Levant vs. al-Nusra FrontLocation: Syria,2013,present,"50,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"100,000[136] Syrian Kurds fleeing to Turkey"
War in Iraq (2013-2017),Combatants: Iraq and allies vs. ISILLocation: Iraq,2013,2017,"195,000-200,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Yemeni Civil War,"Combatants: Yemen's Supreme Political Council vs. Hadi Government, Saudi-led Coalition and the UAE-backed Southern Movement vs Al-QaedaLocation: Yemen",2014,present,"377,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,UNDP estimate for the end of 2021. 60% attributable to hunger and disease. Also part of the Arab Winter.
Tigray War,"Combatants: UFEFCF vs. Ethiopian and Eritrean GovernmentLocation: Ethiopia (Tigray, Afar and Amhara Regions)",2020,2022,"300,000-600,000 (Including famine victims, per Ghent University)[137][138]",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Part of the Ethiopian civil conflict.
