Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
Spanish conquest of the Inca Empire,Combatants: Spanish Empire vs. Inca EmpireLocation: Peru,1533,1572,"8,400,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"[24] - Part of the European colonization of the Americas, includes deaths due to European diseases"
Campaigns of Suleiman the Magnificent,"Combatants: Ottoman Empire vs. several Balkan, African, and Arabian statesLocation: Eastern Europe / Middle East / North Africa",1521,1566,"200,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25]
German Peasants' War,Combatants: German Peasants vs. Swabian LeagueLocation: Germany,1524,1525,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[26] - Also known as the Great Peasants War
Arauco War,Combatants: Spanish Empire vs. MapuchesLocation: Chile,1550,1790,"125,000-142,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"[24] - Part of the European colonization of the Americas, includes deaths due to European diseases"
French Wars of Religion,Combatants: Protestants vs. France vs. CatholicsLocation: France,1562,1598,"2,000,000-4,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[27] - Also known as the Huguenot Wars
Eighty Years' War,"Combatants: Dutch Republic, England, and France vs. Spanish EmpireLocation: Northern Europe (primarily)",1568,1648,"600,000-700,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[24] - Also known as the Dutch War of Independence
Anglo-Spanish War (1585-1604),Combatants: Spanish Empire and allies vs. Kingdom of England and alliesLocation: Europe / Americas,1585,1604,"138,285+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"English88,285[28]Scots/Irish50,000"
Japanese invasions of Korea,Combatants: Kingdom of Great Joseon and Ming China vs. JapanLocation: Korea,1592,1598,"1,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[29][24]
Nine Years' War (Ireland),Combatants: Irish rebels vs Kingdom of EnglandLocation: Ireland,1593,1603,"130,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[24]
Transition from Ming to Qing,Combatants: Qing China vs. Ming China vs. Shun dynasty China (Li Zicheng) vs. Xi dynasty China (Zhang Xianzhong vs. Kingdom of Shu (She-An Rebellion) vs. Evenk-Daur federation (Bombogor)Location: China,1616,1683,"25,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[30] - Also known as the Ming-Qing transition
Thirty Years' War,Combatants: Pro-Habsburg states vs. Anti-Habsburg statesLocation: Europe,1618,1648,"4,000,000-12,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[31]
Franco-Spanish War (1635-1659),Combatants: France and allies vs. Spain and alliesLocation: Western Europe,1635,1659,"200,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25][32]
Wars of the Three Kingdoms,Combatants: Royalists vs. Covenanters vs.Union of the Irish vs. Scottish Protestants vs. ParliamentariansLocation: British Isles,1639,1651,"876,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[33][34][35] - Also known as the British Civil Wars
Portuguese Restoration War,"Combatants: Portugal, France, and England vs. SpainLocation: Iberian Peninsula",1640,1668,"80,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Russo-Ukrainian War (outline),Combatants: Russia vs. UkraineLocation: Ukraine,2014,present,"200,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Estimates of deaths vary widely.[36][37]
English Civil War,"Combatants: Royalists vs. ParliamentariansLocation: England, Scotland, and Ireland",1642,1651,"211,830+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Part of the Wars of the Three Kingdoms
Fifth Ottoman-Venetian War,"Combatants: Republic of Venice vs. Ottoman EmpireLocation: Candia, Crete, Dalmatia and Aegean Sea",1645,1669,"72,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Deluge,Combatants: Primarily Poland vs. Sweden and RussiaLocation: Poland,1655,1660 or 1648,"3,000,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[38]
Mughal-Maratha Wars,Combatants: Maratha empire vs. Mughal EmpireLocation: India-Bangladesh,1658,1707,"5,000,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[39][40]
Franco-Dutch War,Combatants: France and allies vs. Dutch Republic and alliesLocation: Western Europe,1672,1678,"342,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Also known as the Dutch War
Great Turkish War,Combatants: Ottoman Empire vs. European Holy LeagueLocation: Eastern Europe,1683,1699,"380,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[25] - Also known as the War of the Holy League
