Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,EL SALVADOR-EL SALVADOR-NICARAGUA: 27/08/2012 04:37:19.4,Earthquake mag: 7.3; Max water height (m): 6.3; Magnitude (Iida): NADeaths: NA,2012-08-27,2012-08-27,38,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PHILIPPINES-PHILIPPINE ISLANDS: 31/08/2012 12:47:33.3,Earthquake mag: 7.6; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2012-08-31,2012-08-31,17,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,COSTA RICA-COSTA RICA: 05/09/2012 14:42:7.8,Earthquake mag: 7.6; Max water height (m): 0.16; Magnitude (Iida): NADeaths: NA,2012-09-05,2012-09-05,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CANADA-BRITISH COLUMBIA: 28/10/2012 03:04:8.8,Earthquake mag: 7.7; Max water height (m): 12.98; Magnitude (Iida): NADeaths: 1,2012-10-28,2012-10-28,178,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GUATEMALA-GUATEMALA: 07/11/2012 16:35:46.9,Earthquake mag: 7.3; Max water height (m): 0.35; Magnitude (Iida): NADeaths: NA,2012-11-07,2012-11-07,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-OFF EAST COAST OF HONSHU ISLAND: 07/12/2012 08:18:23.1,Earthquake mag: 7.2; Max water height (m): 1; Magnitude (Iida): NADeaths: NA,2012-12-07,2012-12-07,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"CHINA-ZHAOJUN BRIDGE, HUBEI PROVINCE: 28/12/2012 NA:NA:NA",Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2012-12-28,2012-12-28,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-SE. ALASKA, AK: 05/01/2013 08:58:19.3",Earthquake mag: 7.5; Max water height (m): 1.5; Magnitude (Iida): NADeaths: NA,2013-01-05,2013-01-05,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SANTA CRUZ ISLANDS: 06/02/2013 01:12:25.8,Earthquake mag: 7.9; Max water height (m): 11; Magnitude (Iida): NADeaths: 10,2013-02-06,2013-02-06,124,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SANTA CRUZ ISLANDS: 08/02/2013 15:26:38.4,Earthquake mag: 7; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2013-02-08,2013-02-08,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,RUSSIA-S. KURIL ISLANDS: 19/04/2013 03:05:52.6,Earthquake mag: 7.2; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2013-04-19,2013-04-19,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-MEXICO: 22/04/2013 01:16:32,Earthquake mag: 6; Max water height (m): 0.13; Magnitude (Iida): NADeaths: NA,2013-04-22,2013-04-22,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-NORTHWEST ATLANTIC OCEAN: 13/06/2013 NA:NA:NA,Earthquake mag: NA; Max water height (m): 1.8; Magnitude (Iida): NADeaths: NA,2013-06-13,2013-06-13,38,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-CRETE: 15/06/2013 16:11:02,Earthquake mag: 6.2; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2013-06-15,2013-06-15,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-COOK STRAIT: 21/07/2013 05:09:31.4,Earthquake mag: 6.5; Max water height (m): 0.07; Magnitude (Iida): NADeaths: NA,2013-07-21,2013-07-21,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-WELLINGTON: 16/08/2013 02:31:47,Earthquake mag: 6.5; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2013-08-16,2013-08-16,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAKISTAN-OFF COAST GWADAR: 24/09/2013 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.57; Magnitude (Iida): NADeaths: NA,2013-09-24,2013-09-24,11,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-CRETE: 12/10/2013 13:11:35,Earthquake mag: 6.6; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2013-10-12,2013-10-12,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-E. COAST HONSHU ISLAND: 25/10/2013 17:10:00,Earthquake mag: 7.1; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2013-10-25,2013-10-25,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ANTARCTICA-SCOTIA SEA: 17/11/2013 09:04:53,Earthquake mag: 7.7; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2013-11-17,2013-11-17,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-NORTHERN CHILE: 16/03/2014 21:16:00,Earthquake mag: 6.7; Max water height (m): 0.26; Magnitude (Iida): NADeaths: NA,2014-03-16,2014-03-16,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-NORTHERN CHILE: 01/04/2014 23:46:26,Earthquake mag: 8.2; Max water height (m): 4.63; Magnitude (Iida): NADeaths: NA,2014-04-01,2014-04-01,201,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-NORTHERN CHILE: 03/04/2014 02:43:11,Earthquake mag: 7.7; Max water height (m): 0.74; Magnitude (Iida): NADeaths: NA,2014-04-03,2014-04-03,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 12/04/2014 20:14:03,Earthquake mag: 7.6; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2014-04-12,2014-04-12,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 13/04/2014 12:36:23,Earthquake mag: 7.4; Max water height (m): 0.16; Magnitude (Iida): NADeaths: NA,2014-04-13,2014-04-13,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 18/04/2014 14:28:32,Earthquake mag: 7.2; Max water height (m): 0.43; Magnitude (Iida): NADeaths: NA,2014-04-18,2014-04-18,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-SOLOMON SEA: 19/04/2014 13:29:21,Earthquake mag: 7.5; Max water height (m): 0.11; Magnitude (Iida): NADeaths: NA,2014-04-19,2014-04-19,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-NORTH AEGEAN SEA: 24/05/2014 09:25:05,Earthquake mag: 6.9; Max water height (m): 0.16; Magnitude (Iida): NADeaths: NA,2014-05-24,2014-05-24,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"NEW ZEALAND-S OF RAOUL ISLAND, KERMADEC ISLANDS: 23/06/2014 19:20:34",Earthquake mag: 6.9; Max water height (m): 0.13; Magnitude (Iida): NADeaths: NA,2014-06-23,2014-06-23,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-ALEUTIAN ISLANDS, AK: 23/06/2014 20:53:07",Earthquake mag: 7.9; Max water height (m): 0.17; Magnitude (Iida): NADeaths: NA,2014-06-23,2014-06-23,20,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SPAIN-MEDITERRANEAN AND BLACK SEAS: 23/06/2014 NA:NA:NA,Earthquake mag: NA; Max water height (m): 2.5; Magnitude (Iida): NADeaths: NA,2014-06-23,2014-06-23,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,UKRAINE-ODESSA: 27/06/2014 10:37:NA,Earthquake mag: NA; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,2014-06-27,2014-06-27,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"GREENLAND-ILULISSAT ICEFJORD, GREENLAND: 02/07/2014 14:06:NA",Earthquake mag: NA; Max water height (m): 10; Magnitude (Iida): NADeaths: NA,2014-07-02,2014-07-02,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-SANRIKU: 11/07/2014 19:23:22,Earthquake mag: 6.5; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2014-07-11,2014-07-11,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ICELAND-ASKJA LAKE: 21/07/2014 23:24:NA,Earthquake mag: NA; Max water height (m): 60; Magnitude (Iida): NADeaths: NA,2014-07-21,2014-07-21,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-PALMA BAY, AK: 25/07/2014 10:55:12",Earthquake mag: 6.1; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2014-07-25,2014-07-25,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-EASTER ISLAND REGION: 09/10/2014 02:14:44,Earthquake mag: 7; Max water height (m): 0.47; Magnitude (Iida): NADeaths: NA,2014-10-09,2014-10-09,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,EL SALVADOR-GULF OF FONSECA: 14/10/2014 03:51:46,Earthquake mag: 7.3; Max water height (m): 0.02; Magnitude (Iida): NADeaths: NA,2014-10-14,2014-10-14,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-N. MOLUCCAS ISLANDS: 15/11/2014 02:32:12,Earthquake mag: 7.1; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2014-11-15,2014-11-15,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HONSHU: 16/02/2015 23:06:27,Earthquake mag: 6.7; Max water height (m): 0.27; Magnitude (Iida): NADeaths: NA,2015-02-16,2015-02-16,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 19/02/2015 13:18:32,Earthquake mag: 6.4; Max water height (m): 8; Magnitude (Iida): NADeaths: NA,2015-02-19,2015-02-19,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-BISMARCK SEA: 29/03/2015 23:48:01,Earthquake mag: 7.5; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2015-03-29,2015-03-29,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-S. OF HONSHU ISLAND: 02/05/2015 16:51:39,Earthquake mag: 5.7; Max water height (m): 0.6; Magnitude (Iida): NADeaths: NA,2015-05-02,2015-05-02,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-NEW BRITAIN: 05/05/2015 01:44:38,Earthquake mag: 7.5; Max water height (m): 1; Magnitude (Iida): NADeaths: NA,2015-05-05,2015-05-05,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NORWAY-NORTHERN NORWAY: 10/05/2015 NA:NA:NA,Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2015-05-10,2015-05-10,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"CHINA-WUSHAN, CHONGQING: 24/06/2015 NA:NA:NA",Earthquake mag: NA; Max water height (m): 6.2; Magnitude (Iida): NADeaths: 2,2015-06-24,2015-06-24,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SCOTLAND-NORTH SEA: 01/07/2015 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.18; Magnitude (Iida): NADeaths: NA,2015-07-01,2015-07-01,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 10/07/2015 04:12:54,Earthquake mag: 6.7; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2015-07-10,2015-07-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SANTA CRUZ ISLANDS: 18/07/2015 02:28:22,Earthquake mag: 7; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2015-07-18,2015-07-18,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-FOX ISLANDS, ALEUTIAN ISLANDS, AK: 27/07/2015 04:49:00",Earthquake mag: 6.9; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2015-07-27,2015-07-27,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 16/09/2015 22:55:26,Earthquake mag: 8.3; Max water height (m): 13.6; Magnitude (Iida): 8.4Deaths: 8,2015-09-16,2015-09-16,1094,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-ICY BAY, AK: 18/10/2015 05:19:NA",Earthquake mag: NA; Max water height (m): 193; Magnitude (Iida): NADeaths: NA,2015-10-18,2015-10-18,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 11/11/2015 01:54:00,Earthquake mag: 6.9; Max water height (m): 0.55; Magnitude (Iida): NADeaths: NA,2015-11-11,2015-11-11,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-JAPAN: 13/11/2015 20:51:03,Earthquake mag: 6.7; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,2015-11-13,2015-11-13,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-IONIAN SEA: 17/11/2015 07:10:03,Earthquake mag: 6.5; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2015-11-17,2015-11-17,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 18/11/2015 18:31:57,Earthquake mag: 6.8; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2015-11-18,2015-11-18,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MOROCCO-MOROCCO: 25/01/2016 04:23:13,Earthquake mag: 6.3; Max water height (m): 0.02; Magnitude (Iida): NADeaths: NA,2016-01-25,2016-01-25,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SW. SUMATRA: 02/03/2016 12:49:11,Earthquake mag: 7.8; Max water height (m): 0.21; Magnitude (Iida): NADeaths: NA,2016-03-02,2016-03-02,13,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,ECUADOR-OFF COAST: 16/04/2016 23:58:00,Earthquake mag: 7.8; Max water height (m): 0.6; Magnitude (Iida): NADeaths: NA,2016-04-16,2016-04-16,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 28/04/2016 19:33:07,Earthquake mag: 7; Max water height (m): 0.02; Magnitude (Iida): NADeaths: NA,2016-04-28,2016-04-28,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 12/08/2016 01:26:28,Earthquake mag: 7.2; Max water height (m): 0.19; Magnitude (Iida): NADeaths: NA,2016-08-12,2016-08-12,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,UK TERRITORY-SOUTHERN ATLANTIC OCEAN: 19/08/2016 07:33:11,Earthquake mag: 7.4; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2016-08-19,2016-08-19,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-SANRIKU: 20/08/2016 09:01:26,Earthquake mag: 6; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2016-08-20,2016-08-20,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-GISBORNE: 01/09/2016 16:37:03,Earthquake mag: 7; Max water height (m): 0.21; Magnitude (Iida): NADeaths: NA,2016-09-01,2016-09-01,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-OFF EAST COAST OF SOUTH ISLAND: 13/11/2016 11:02:34,Earthquake mag: 7.8; Max water height (m): 6.9; Magnitude (Iida): NADeaths: NA,2016-11-13,2016-11-13,17,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-E. COAST HONSHU ISLAND: 21/11/2016 20:59:27,Earthquake mag: 6.9; Max water height (m): 1.44; Magnitude (Iida): NADeaths: NA,2016-11-21,2016-11-21,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NICARAGUA-NICARAGUA: 24/11/2016 18:43:00,Earthquake mag: 6.9; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2016-11-24,2016-11-24,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 08/12/2016 17:38:28,Earthquake mag: 7.8; Max water height (m): 0.43; Magnitude (Iida): NADeaths: NA,2016-12-08,2016-12-08,11,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON ISLANDS: 09/12/2016 19:11:24,Earthquake mag: 6.9; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2016-12-09,2016-12-09,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-SOLOMON SEA: 17/12/2016 10:51:05,Earthquake mag: 7.9; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2016-12-17,2016-12-17,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-SOUTHERN CHILE: 25/12/2016 14:22:00,Earthquake mag: 7.6; Max water height (m): 0.44; Magnitude (Iida): NADeaths: NA,2016-12-25,2016-12-25,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,FIJI-FIJI ISLANDS: 03/01/2017 21:53:07,Earthquake mag: 6.9; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2017-01-03,2017-01-03,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-BOUGAINVILLE ISLAND: 22/01/2017 04:31:36,Earthquake mag: 7.9; Max water height (m): 0.04; Magnitude (Iida): NADeaths: NA,2017-01-22,2017-01-22,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,IRAN-PERSIAN GULF: 19/03/2017 04:30:NA,Earthquake mag: NA; Max water height (m): 3; Magnitude (Iida): NADeaths: 5,2017-03-19,2017-03-19,27,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHILE-CENTRAL CHILE: 24/04/2017 21:39:22,Earthquake mag: 6.9; Max water height (m): 0.16; Magnitude (Iida): NADeaths: NA,2017-04-24,2017-04-24,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PHILIPPINES-SOCCSKSARGEN, PHILIPPINES: 28/04/2017 20:23:26",Earthquake mag: 6.9; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2017-04-28,2017-04-28,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-SKAGWAY, AK: 01/05/2017 12:31:03",Earthquake mag: 6.2; Max water height (m): 0.06; Magnitude (Iida): NADeaths: NA,2017-05-01,2017-05-01,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NETHERLANDS-NORTH SEA: 29/05/2017 03:45:NA,Earthquake mag: NA; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,2017-05-29,2017-05-29,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-LESBOS: 12/06/2017 12:28:15,Earthquake mag: 6.3; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2017-06-12,2017-06-12,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"GREENLAND-KARRAT FJORD, GREENLAND: 17/06/2017 23:39:17",Earthquake mag: NA; Max water height (m): 90; Magnitude (Iida): NADeaths: 4,2017-06-17,2017-06-17,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,RUSSIA-BERING ISLAND: 17/07/2017 23:35:14,Earthquake mag: 7.7; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2017-07-17,2017-07-17,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,COLOMBIA-OFF THE COAST NEAR SANTA MARTA: 19/07/2017 12:50:00,Earthquake mag: NA; Max water height (m): 8; Magnitude (Iida): NADeaths: NA,2017-07-19,2017-07-19,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TURKEY-GULF OF GÖKOVA: 20/07/2017 22:31:26,Earthquake mag: 6.6; Max water height (m): 1.9; Magnitude (Iida): NADeaths: NA,2017-07-20,2017-07-20,40,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 08/09/2017 04:49:02,Earthquake mag: 8.2; Max water height (m): 2.7; Magnitude (Iida): NADeaths: NA,2017-09-08,2017-09-08,68,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 31/10/2017 00:43:12,Earthquake mag: 6.7; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2017-10-31,2017-10-31,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 01/11/2017 02:24:07,Earthquake mag: 6.6; Max water height (m): 0.1; Magnitude (Iida): NADeaths: NA,2017-11-01,2017-11-01,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VIETNAM-QUANG NAM: 05/11/2017 09:00:00,Earthquake mag: NA; Max water height (m): 8.5; Magnitude (Iida): NADeaths: 1,2017-11-05,2017-11-05,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 19/11/2017 09:26:13,Earthquake mag: 6.3; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2017-11-19,2017-11-19,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 19/11/2017 15:10:28,Earthquake mag: 6.6; Max water height (m): 0.08; Magnitude (Iida): NADeaths: NA,2017-11-19,2017-11-19,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 19/11/2017 22:43:25,Earthquake mag: 7; Max water height (m): 0.37; Magnitude (Iida): NADeaths: NA,2017-11-19,2017-11-19,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,KERMADEC ISLANDS-KERMADEC ISLANDS: 08/12/2017 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2017-12-08,2017-12-08,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,HONDURAS-OFF COAST OF HONDURAS: 10/01/2018 02:51:29,Earthquake mag: 7.5; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2018-01-10,2018-01-10,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PERU-S. PERU: 14/01/2018 09:18:00,Earthquake mag: 7.1; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2018-01-14,2018-01-14,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-KODIAK ISLAND, AK: 23/01/2018 09:32:29",Earthquake mag: 7.9; Max water height (m): 0.25; Magnitude (Iida): NADeaths: NA,2018-01-23,2018-01-23,64,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PAPUA NEW GUINEA-KADOVAR ISLAND, PAPUA NEW GUINEA: 09/02/2018 NA:NA:NA",Earthquake mag: NA; Max water height (m): 1; Magnitude (Iida): NADeaths: NA,2018-02-09,2018-02-09,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-HAWAII: 04/05/2018 22:32:37,Earthquake mag: 6.9; Max water height (m): 0.4; Magnitude (Iida): NADeaths: NA,2018-05-04,2018-05-04,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-S. OF HONSHU ISLAND: 06/05/2018 06:03:33,Earthquake mag: 5.4; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2018-05-06,2018-05-06,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-NORTHEAST U.S.A.: 15/05/2018 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.22; Magnitude (Iida): NADeaths: NA,2018-05-15,2018-05-15,10,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SPAIN-BALEARIC ISLANDS: 16/07/2018 NA:NA:NA,Earthquake mag: NA; Max water height (m): 0.75; Magnitude (Iida): NADeaths: 1,2018-07-16,2018-07-16,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-BALI SEA: 28/07/2018 22:48:14,Earthquake mag: 6.4; Max water height (m): 2.5; Magnitude (Iida): NADeaths: NA,2018-07-28,2018-07-28,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-BALI SEA: 05/08/2018 11:47:03,Earthquake mag: 6.9; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,2018-08-05,2018-08-05,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,FIJI-FIJI ISLANDS: 19/08/2018 00:20:07,Earthquake mag: 8.2; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2018-08-19,2018-08-19,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-BALI SEA: 19/08/2018 04:11:04,Earthquake mag: 6.3; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2018-08-19,2018-08-19,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VENEZUELA-SUCRE: 21/08/2018 21:31:06,Earthquake mag: 7.3; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2018-08-21,2018-08-21,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 29/08/2018 03:51:01,Earthquake mag: 7.1; Max water height (m): 0.27; Magnitude (Iida): NADeaths: NA,2018-08-29,2018-08-29,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SULAWESI: 28/09/2018 10:02:25,Earthquake mag: 7.5; Max water height (m): 10.73; Magnitude (Iida): NADeaths: 4340,2018-09-28,2018-09-28,291,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 16/10/2018 01:03:58,Earthquake mag: 6.5; Max water height (m): 0.05; Magnitude (Iida): NADeaths: NA,2018-10-16,2018-10-16,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-IONIAN SEA: 25/10/2018 22:55:03,Earthquake mag: 6.8; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,2018-10-25,2018-10-25,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW CALEDONIA-LOYALTY ISLANDS: 05/12/2018 04:18:42,Earthquake mag: 7.5; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,2018-12-05,2018-12-05,34,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"RUSSIA-BUREYA, FAR EASTERN RUSSIA: 11/12/2018 04:48:NA",Earthquake mag: NA; Max water height (m): 90; Magnitude (Iida): NADeaths: NA,2018-12-11,2018-12-11,49,DOI:10.7289/V5PN93H7,2023-02-02
