Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,JAPAN-OFF EAST COAST OF HONSHU ISLAND: 19/07/2008 02:39:28.7,Earthquake mag: 6.9; Max water height (m): 0.2; Magnitude (Iida): NADeaths: NA,2008-07-19,2008-07-19,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-KASATOCHI VOLCANO, ALEUTIAN IS, AK: 08/08/2008 NA:NA:NA",Earthquake mag: NA; Max water height (m): 0.19; Magnitude (Iida): NADeaths: NA,2008-08-08,2008-08-08,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOUTH AFRICA-SOUTHERN ATLANTIC OCEAN: 20/08/2008 23:00:00,Earthquake mag: NA; Max water height (m): 2.55; Magnitude (Iida): NADeaths: NA,2008-08-20,2008-08-20,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HOKKAIDO ISLAND: 11/09/2008 00:20:50.9,Earthquake mag: 6.8; Max water height (m): 0.09; Magnitude (Iida): NADeaths: NA,2008-09-11,2008-09-11,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-MAINE: 28/10/2008 NA:NA:NA,Earthquake mag: NA; Max water height (m): 3.6; Magnitude (Iida): NADeaths: NA,2008-10-28,2008-10-28,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-SULAWESI: 16/11/2008 17:02:32.7,Earthquake mag: 7.3; Max water height (m): 0.13; Magnitude (Iida): NADeaths: NA,2008-11-16,2008-11-16,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"CHINA-WU GORGE, WUSHAN COUNTY: 23/11/2008 NA:NA:NA",Earthquake mag: NA; Max water height (m): 13.1; Magnitude (Iida): NADeaths: NA,2008-11-23,2008-11-23,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-NEAR NORTH COAST: 03/01/2009 19:43:50.6,Earthquake mag: 7.6; Max water height (m): 0.39; Magnitude (Iida): NADeaths: NA,2009-01-03,2009-01-03,24,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-NEAR NORTH COAST: 03/01/2009 22:33:40.2,Earthquake mag: 7.3; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,2009-01-03,2009-01-03,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,RUSSIA-KAMCHATKA: 15/01/2009 17:49:39,Earthquake mag: 7.4; Max water height (m): 0.11; Magnitude (Iida): NADeaths: NA,2009-01-15,2009-01-15,11,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-COLUMBIA RIVER VALLEY, WA: 16/01/2009 NA:NA:NA",Earthquake mag: NA; Max water height (m): 9; Magnitude (Iida): NADeaths: NA,2009-01-16,2009-01-16,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-CELEBES SEA: 11/02/2009 17:34:50.8,Earthquake mag: 7.2; Max water height (m): 0.13; Magnitude (Iida): NADeaths: NA,2009-02-11,2009-02-11,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,EAST CHINA SEA-E. CHINA SEA-S.JAPAN: 24/02/2009 NA:NA:NA,Earthquake mag: NA; Max water height (m): 1.45; Magnitude (Iida): NADeaths: NA,2009-02-24,2009-02-24,6,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TONGA-TONGA: 19/03/2009 18:17:40.9,Earthquake mag: 7.6; Max water height (m): 0.15; Magnitude (Iida): NADeaths: NA,2009-03-19,2009-03-19,27,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,HONDURAS-OFF COAST OF HONDURAS: 28/05/2009 08:24:45,Earthquake mag: 7.3; Max water height (m): 4; Magnitude (Iida): NADeaths: NA,2009-05-28,2009-05-28,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GREECE-CRETE: 01/07/2009 09:30:10.4,Earthquake mag: 6.4; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,2009-07-01,2009-07-01,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-OFF WEST COAST OF SOUTH ISLAND: 15/07/2009 09:22:29,Earthquake mag: 7.8; Max water height (m): 0.47; Magnitude (Iida): NADeaths: NA,2009-07-15,2009-07-15,9,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDIA-ANDAMAN ISLANDS: 10/08/2009 19:55:35.6,Earthquake mag: 7.5; Max water height (m): 0.01; Magnitude (Iida): NADeaths: NA,2009-08-10,2009-08-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-HONSHU: S COAST: 10/08/2009 20:07:9.1,Earthquake mag: 6.4; Max water height (m): 0.6; Magnitude (Iida): NADeaths: NA,2009-08-10,2009-08-10,5,DOI:10.7289/V5PN93H7,2023-02-02
