Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Rena oil spill,"Location: New Zealand, Tauranga, Bay of Plenty, Owner: Costamare",2011-10-05,August 2012,350,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,"Gannet Alpha platform, North Sea","Location: United Kingdom, North Sea, Gannet Alpha platform, Owner: Royal Dutch Shell",2011-08-10,2011-08-13,216,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Yellowstone River,"Location: United States, Billings, Montana, Yellowstone River, Owner: ExxonMobil",2011-07-01,,122.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Bohai Bay oil spill,"Location: China, Bohai Bay, Owner: ConocoPhillips",2011-06-04,2011-06-19,204,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Little Buffalo oil spill,"Location: Canada, Alberta, Owner: Plains All American Pipeline",2011-04-29,,3800,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Mumbai-Uran pipeline spill,"Location: India, Mumbai, Arabian Sea, Owner: NA",2011-01-21,,47.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Fiume Santo power station,"Location: Italy, Sardinia, Porto Torres, Owner: NA",2011-01-11,,15,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Mumbai oil spill / MV MSC Chitra and MV Khalijia 3,"Location: India, Mumbai, Arabian Sea, Owner: NA",2010-08-07,2010-08-09,600,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Barataria Bay oil spill,"Location: United States, Barataria Bay, Gulf of Mexico, Owner: Cedyco Corp.",2010-07-27,2010-08-01,34,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Kalamazoo River oil spill,"Location: United States, Kalamazoo River, Calhoun County, Michigan, Owner: Enbridge",2010-07-26,,3025,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
