Category ID,Category,Event,Event description,country,ccode,type,src
G3,Inter-state wars,Greco-Turkish,"Inter-state war: Greece, Turkey",Turkey,TUR,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United States of America,USA,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Canada,CAN,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",France,FRN,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Italy,ITA,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Morocco,MOR,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Iraq,IRQ,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Egypt,EGY,Polity,data
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Syria,SYR,Polity,data
