Category ID,Category,Event,Event description,Country,
G15,Structural failures and collapses,Aviamotornaya escalator collapse,"Escalator - Moscow, Russian SFSR, Soviet Union",USSR,Russia
G15,Structural failures and collapses,Lawn Lake Dam,"Dam - Rocky Mountain National Park, Colorado, US",US,
G15,Structural failures and collapses,Tous Dam,"Dam - Valencia, Spain",Spain,
G15,Structural failures and collapses,Senior Road Tower collapse,"Guyed mast - Missouri City, Texas, US",US,
G15,Structural failures and collapses,Sophia Gardens Pavilion,"Concert hall - Cardiff, Wales, UK",UK,
G15,Structural failures and collapses,Mianus River Bridge,"Bridge - Greenwich, Connecticut, US",US,
G15,Structural failures and collapses,CKX-TV Craig Television Tower,"Guyed mast - Souris, Manitoba, Canada",Canada,
G15,Structural failures and collapses,Wavre TV Mast,"Guyed mast - Wavre, Belgium",Belgium,
G15,Structural failures and collapses,Val di Stava Dam collapse,Dam - Italy,Italy,
G15,Structural failures and collapses,Apartment Building Collapse,"Apartment Building - Taranto, Italy",Italy,
G15,Structural failures and collapses,Hotel New World Disaster,"Hotel - Little India near Serangoon Road, Singapore",Singapore,
G15,Structural failures and collapses,L'Ambiance Plaza collapse,"Residential tower - Bridgeport, Connecticut, US",US,
G15,Structural failures and collapses,Schoharie Creek Bridge collapse,"Bridge - Fort Hunter, New York, US",US,
G15,Structural failures and collapses,Dzhrashen School (earthquake),"Elementary school - Spitak, Armenia",Armenia,
G15,Structural failures and collapses,Multrå transmitter,"Pinnacle of guyed mast - Sollefteå, Sweden",Sweden,
G15,Structural failures and collapses,Mainbrücke Stockstadt (Aschaffenburg Main River Freeway Bridge),"Bridge under construction - Aschaffenburg, Bavaria, West Germany",West Germany,
G15,Structural failures and collapses,Station Square collapse (Save-On-Foods collapse),"Rooftop parking structure - Burnaby, British Columbia, Canada",Canada,
G15,Structural failures and collapses,Sultan Abdul Halim ferry terminal bridge,"Bridge - Butterworth, Penang, Malaysia",Malaysia,
G15,Structural failures and collapses,Green Bank Telescope,"Parabolic dish (diameter: 90.44 metres) - Green Bank, West Virginia, US",US,
G15,Structural failures and collapses,Tennessee Hatchie River Bridge,"Bridge - Tennessee, US",US,
G15,Structural failures and collapses,Civic Tower,Tower - Italy,Italy,
G15,Structural failures and collapses,Cypress Street Viaduct,"Bridge - Oakland, California, US",US,
G15,Structural failures and collapses,Astram Line steel bridge,"Bridge - Hiroshima, Japan",Japan,
G15,Structural failures and collapses,Festival Pier,"Pier - London, England, UK",UK,
G15,Structural failures and collapses,Warsaw Radio Mast collapse,"Guyed mast (646 m) - Gąbin, Poland",Poland,
G15,Structural failures and collapses,Armand Césari Stadium disaster,"Stadium - Bastia, Haute-Corse, France",France,
G15,Structural failures and collapses,Cape Race LORAN-C transmitter mast collapse,"Mast - Cape Race, Newfoundland and Labrador, Canada",Canada,
G15,Structural failures and collapses,Collapse of the Royal Plaza Hotel,"Hotel - Nakhon Ratchasima, Thailand",Thailand,
G15,Structural failures and collapses,Highland Towers collapse (Block 1),"Residential tower - Selangor, Malaysia",Malaysia,
G15,Structural failures and collapses,Casino supermarket collapse,"Roof of the commercial building - Nice, France",France,
G15,Structural failures and collapses,Retirement Home collapse,"Retirement Home - Motta Visconti, Italy",Italy,
G15,Structural failures and collapses,Marja store collapse,"Commercial building - Tallinn, Estonia",Estonia,
G15,Structural failures and collapses,Seongsu Bridge disaster,"Bridge - Seoul, South Korea",South Korea,
G15,Structural failures and collapses,Cave Creek disaster,"Viewing platform - Paparoa National Park, New Zealand",New Zealand,
G15,Structural failures and collapses,Sampoong Department Store collapse,"Commercial building - Seoul, South Korea",South Korea,
G15,Structural failures and collapses,Alfred P. Murrah Federal Building,"Government building - Oklahoma City, US",US,
G15,Structural failures and collapses,Baikong Railway bridge,"Bridge - Ruyuan County, Guangdong, China",China,
G15,Structural failures and collapses,Koror-Babeldaob Bridge,"Bridge - Koror and Babeldaob, Palau",Palau,
G15,Structural failures and collapses,Walnut Street Bridge collapse,"Bridge - Harrisburg, Pennsylvania, US",US,
G15,Structural failures and collapses,Opuha Dam,Dam - New Zealand,New Zealand,
G15,Structural failures and collapses,Maccabiah bridge collapse,"Bridge - Tel Aviv, Israel",Israel,
G15,Structural failures and collapses,KXJB-TV mast collapse,"Guyed mast - Traill County, North Dakota, US",US,
G15,Structural failures and collapses,WLBT Tower collapse,"Tower - Raymond, Mississippi, US",US,
G15,Structural failures and collapses,Knick-Ei,"Sports hall - Halstenbek, Germany",Germany,
G15,Structural failures and collapses,Palace II collapse,"Residential tower - Rio de Janeiro, Brazil",Brazil,
G15,Structural failures and collapses,Knick-Ei,"Sports hall - Halstenbek, Germany",Germany,
G15,Structural failures and collapses,Gdynia Shipyard crane crash,"Crane - Gdynia, Poland",Poland,
G15,Structural failures and collapses,Russian apartment buildings,"Residential buildings - Moscow, Volgodonsk and Buynaksk, Russia",Russia,
G15,Structural failures and collapses,Via Giotto in Foggia building collapse,"Residential building - Foggia, Italy",Italy,
G15,Structural failures and collapses,Aggie Bonfire collapse,"Bonfire - College Station, Texas, US",US,
G15,Structural failures and collapses,Big Blue Crane collapse,"Crane - Milwaukee, Wisconsin, US",US,
G15,Structural failures and collapses,2000 Baia Mare cyanide spill,"Embankment dam - Baia Mare, Romania",Romania,
G15,Structural failures and collapses,Pier Number 34 (Club Heat),"Pier - Philadelphia, Pennsylvania, US",US,
G15,Structural failures and collapses,Boulevard du Souvenir overpass collapse over Highway 15,"Overpass - Laval, Quebec, Canada",Canada,
G15,Structural failures and collapses,1601 Park Avenue apartment building collapse,"Residential apartment building - Los Angeles, California",USA,
G15,Structural failures and collapses,Hoan Bridge,"Bridge - Milwaukee, Wisconsin, US",US,
G15,Structural failures and collapses,Lowe's Motor Speedway,"Bridge - Concord, North Carolina, US",US,
G15,Structural failures and collapses,Hintze Ribeiro Bridge,"Bridge - Entre-os-Rios, Castelo de Paiva, Portugal",Portugal,
G15,Structural failures and collapses,Versailles wedding hall collapse,Wedding hall - Jerusalem,Israel,
G15,Structural failures and collapses,World Trade Center,"Skyscraper - New York City, New York, US",US,
G15,Structural failures and collapses,Queen Isabella Causeway,"Bridge - Port Isabel and South Padre Island, Texas, US",US,
G15,Structural failures and collapses,Kadalundi River rail bridge,Bridge - India,India,
G15,Structural failures and collapses,Buran hangar collapse,"Hangar - Baikonur, Kazakhstan/Russia",Kazakhstan,Russia
G15,Structural failures and collapses,I-40 bridge disaster,"Bridge - Webbers Falls, Oklahoma, US",US,
G15,Structural failures and collapses,VertiGo (ride),"Amusement ride - Sandusky Ohio, US",US,
G15,Structural failures and collapses,Hengzhou Towers,"mixed-use apartment - Hengyang, China",China,
G15,Structural failures and collapses,Silver Lake Dam failure,"Embankment dam - Marquette County, Michigan, US",US,
