Category ID,Category,Event,Event description,Country,
G65,List of volcanic eruptions,"Macauley, -4360",Macauley - Kermadec Is - New Zealand - -4360,New Zealand,
G65,List of volcanic eruptions,"Kikai, -4350",Kikai - Ryukyu Is - Japan - -4350,Japan,
G65,List of volcanic eruptions,"Masaya, -4050",Masaya - Nicaragua - Nicaragua - -4050,Nicaragua,
G65,List of volcanic eruptions,"Witori, -4000",Witori - New Britain-SW Pac - Papua New Guinea - -4000,Papua New Guinea,
G65,List of volcanic eruptions,"Taal, -3580",Taal - Luzon-Philippines - Philippines - -3580,Philippines,
G65,List of volcanic eruptions,"Pinatubo, -3550",Pinatubo - Luzon-Philippines - Philippines - -3550,Philippines,
G65,List of volcanic eruptions,"Vesuvius, -2420",Vesuvius - Italy - Italy - -2420,Italy,
G65,List of volcanic eruptions,"Long Island, -2040",Long Island - New Guinea-NE of - Papua New Guinea - -2040,Papua New Guinea,
G65,List of volcanic eruptions,"Black Peak, -1900",Black Peak - Alaska Peninsula - United States - -1900,United States,
G65,List of volcanic eruptions,"Hudson, Cerro, -1890","Hudson, Cerro - Chile-S - Chile - -1890",Chile,
G65,List of volcanic eruptions,"St. Helens, -1860",St. Helens - US-Washington - United States - -1860,United States,
G65,List of volcanic eruptions,"Veniaminof, -1750",Veniaminof - Alaska Peninsula - United States - -1750,United States,
G65,List of volcanic eruptions,"Aniakchak, -1645",Aniakchak - Alaska Peninsula - United States - -1645,United States,
G65,List of volcanic eruptions,"Santorini, -1610",Santorini - Greece - Greece - -1610,Greece,
G65,List of volcanic eruptions,"Redoubt, -1550",Redoubt - Alaska-SW - United States - -1550,United States,
G65,List of volcanic eruptions,"Taupo, -1460",Taupo - New Zealand - New Zealand - -1460,New Zealand,
G65,List of volcanic eruptions,"Witori, -1370",Witori - New Britain-SW Pac - Papua New Guinea - -1370,Papua New Guinea,
G65,List of volcanic eruptions,"Pinatubo, -1050",Pinatubo - Luzon-Philippines - Philippines - -1050,Philippines,
G65,List of volcanic eruptions,"Tungurahua, -1010",Tungurahua - Ecuador - Ecuador - -1010,Ecuador,
G65,List of volcanic eruptions,"Cotopaxi, -455",Cotopaxi - Ecuador - Ecuador - -455,Ecuador,
G65,List of volcanic eruptions,"Raoul Island, -250",Raoul Island - Kermadec Is - New Zealand - -250,New Zealand,
G65,List of volcanic eruptions,"Santorini, -197",Santorini - Greece - Greece - -197,Greece,
G65,List of volcanic eruptions,"St. Andrew Strait, -150",St. Andrew Strait - Admiralty Is-SW Paci - Papua New Guinea - -150,Papua New Guinea,
G65,List of volcanic eruptions,"Etna, -141",Etna - Italy - Italy - -141,Italy,
G65,List of volcanic eruptions,"Okmok, -100",Okmok - Aleutian Is - United States - -100,United States,
G65,List of volcanic eruptions,"Apoyeque, -50",Apoyeque - Nicaragua - Nicaragua - -50,Nicaragua,
G65,List of volcanic eruptions,"Santorini, 46",Santorini - Greece - Greece - 46,Greece,
G65,List of volcanic eruptions,"Ambrym, 50",Ambrym - Vanuatu-SW Pacific - Vanuatu - 50,Vanuatu,
G65,List of volcanic eruptions,"Churchill, 60",Churchill - Alaska-E - United States - 60,United States,
G65,List of volcanic eruptions,"Vesuvius, 79",Vesuvius - Italy - Italy - 79,Italy,
G65,List of volcanic eruptions,"Arhab, Harra of, 200","Arhab, Harra of - Arabia-S - Yemen - 200",Yemen,
G65,List of volcanic eruptions,"Taupo, 233",Taupo - New Zealand - New Zealand - 233,New Zealand,
G65,List of volcanic eruptions,"Ksudach, 240",Ksudach - Kamchatka - Russia - 240,Russia,
G65,List of volcanic eruptions,"Augustine, 350",Augustine - Alaska-SW - United States - 350,United States,
G65,List of volcanic eruptions,"Krakatau, 416",Krakatau - Indonesia - Indonesia - 416,Indonesia,
G65,List of volcanic eruptions,"Ilopango, 450",Ilopango - El Salvador - El Salvador - 450,El Salvador,
G65,List of volcanic eruptions,"Arhab, Harra of, 500","Arhab, Harra of - Arabia-S - Yemen - 500",Yemen,
G65,List of volcanic eruptions,"San Salvador, 590",San Salvador - El Salvador - El Salvador - 590,El Salvador,
