Category ID,Category,Event,Event description,Country
G67,List of heads of state and government who died in office,Vasil Kolarov,Prime Minister - Bulgaria - NA - Sofia,Bulgaria
G67,List of heads of state and government who died in office,Enrico Mizzi,Prime Minister - Malta - NA - Valletta,Malta
G67,List of heads of state and government who died in office,Víctor Manuel Román y Reyes,President - Nicaragua - Heart attack - Philadelphia,Nicaragua
G67,List of heads of state and government who died in office,Carlos Delgado Chalbaud,President - Venezuela - Assassination - Caracas,Venezuela
G67,List of heads of state and government who died in office,Karl Renner,President - Austria - Stroke - Vienna,Austria
G67,List of heads of state and government who died in office,Óscar Carmona,President - Portugal - Illness - bronchopneumonia - Lisbon,Portugal
G67,List of heads of state and government who died in office,Rangsit Prayurasakdi,Regent - Thailand - Heart attack - Bangkok,Thailand
G67,List of heads of state and government who died in office,Haj Ali Razmara,Prime Minister - Iran - Assassination - shooting - Tehran,Iran
G67,List of heads of state and government who died in office,Liaquat Ali Khan,Prime Minister - Pakistan - Assassination - shooting - Rawalpindi,Pakistan
G67,List of heads of state and government who died in office,D. S. Senanayake,Prime Minister - Ceylon - Accident - fell off horse - Colombo,Ceylon
G67,List of heads of state and government who died in office,Khorloogiin Choibalsan,Chairman of the Council of Ministers - Mongolia - Illness - kidney cancer - Moscow,Mongolia
G67,List of heads of state and government who died in office,Sveinn Björnsson,President - Iceland - Illness - Reykjavík,Iceland
G67,List of heads of state and government who died in office,Chaim Weizmann,President - Israel - Illness - Rehovot,Israel
G67,List of heads of state and government who died in office,Adriaan Alberga,Prime Minister - Suriname - NA - Paramaribo,Suriname
G67,List of heads of state and government who died in office,Pierre Dupong,Prime Minister - Luxembourg - NA - Luxembourg City,Luxembourg
G67,List of heads of state and government who died in office,Joseph Stalin,Chairman of the Council of Ministers - Soviet Union - Illness - cerebral haemorrhage - Moscow,Soviet Union
G67,List of heads of state and government who died in office,Klement Gottwald,President - Czechoslovakia - Heart attack - Prague,Czechoslovakia
G67,List of heads of state and government who died in office,Gonchigiin Bumtsend,Chairman of the Presidium of the State Little Khural - Mongolia - NA - NA,Mongolia
G67,List of heads of state and government who died in office,Getúlio Vargas,President - Brazil - Suicide - Rio de Janeiro,Brazil
G67,List of heads of state and government who died in office,José Antonio Remón Cantera,President - Panama - Assassination - shooting - Panama City,Panama
G67,List of heads of state and government who died in office,Hans Hedtoft,Prime Minister - Denmark - Heart attack - Stockholm,Denmark
G67,List of heads of state and government who died in office,Alexandros Papagos,Prime Minister - Greece - Illness - lung haemorrhage - Athens,Greece
G67,List of heads of state and government who died in office,Anastasio Somoza García,President - Nicaragua - Assassination - shooting - Ancón,Nicaragua
G67,List of heads of state and government who died in office,Bolesław Bierut,General Secretary of the United Workers' Party - Poland - NA - Moscow,Poland
G67,List of heads of state and government who died in office,Theodor Körner,President - Austria - Stroke - Vienna,Austria
G67,List of heads of state and government who died in office,Antonín Zápotocký,President - Czechoslovakia - NA - Prague,Czechoslovakia
G67,List of heads of state and government who died in office,Carlos Castillo Armas,President - Guatemala - Assassination - shooting - Guatemala City,Guatemala
G67,List of heads of state and government who died in office,Ramón Magsaysay,President - Philippines - Accident - plane crashed into mountain - Balamban,Philippines
G67,List of heads of state and government who died in office,Daniel Ouezzin Coulibaly,President of the Government Council - Upper Volta - NA - Paris,Upper Volta
G67,List of heads of state and government who died in office,Petru Groza,President of the Presidium of the Great National Assembly - Romania - Illness - stomach complications - Bucharest,Romania
G67,List of heads of state and government who died in office,Markus Feldmann,Member of the Federal Council - Switzerland - NA - Bern,Switzerland
G67,List of heads of state and government who died in office,Georgi Damyanov,Chairman of the Presidium of the National Assembly - Bulgaria - NA - Sofia,Bulgaria
G67,List of heads of state and government who died in office,Johannes Gerhardus Strijdom,Prime Minister - South Africa - Illness - cancer - Cape Town,South Africa
G67,List of heads of state and government who died in office,Barthélemy Boganda,Prime Minister - Central African Republic - Accident - plane exploded and crashed on ground - Boda,Central African Republic
G67,List of heads of state and government who died in office,Ernest George Jansen,Governor-General - South Africa - NA - Pretoria,South Africa
G67,List of heads of state and government who died in office,Pierre Frieden,Prime Minister - Luxembourg - NA - Zurich,Luxembourg
G67,List of heads of state and government who died in office,S. W. R. D. Bandaranaike,Prime Minister - Ceylon - Assassination - shooting - Colombo,Ceylon
G67,List of heads of state and government who died in office,H. C. Hansen,Prime Minister - Denmark - Illness - cancer - Copenhagen,Denmark
G67,List of heads of state and government who died in office,Wilhelm Pieck,President - East Germany - Stroke - Berlin,East Germany
G67,List of heads of state and government who died in office,Hazza' al-Majali,Prime Minister - Jordan - Assassination - bombing - Amman,Jordan
G67,List of heads of state and government who died in office,Abebe Aregai,Prime Minister - Ethiopia - Assassination - shooting - Addis Ababa,Ethiopia
G67,List of heads of state and government who died in office,Louis Rwagasore,Prime Minister - Rwanda - Assassination - shooting - Bujumbura,Rwanda
G67,List of heads of state and government who died in office,Nicola Canali,President of the Governorate & President of the Pontifical Commission - Vatican City/Holy See - Illness - pneumonia - Vatican City/Holy See,Vatican City/Holy See
G67,List of heads of state and government who died in office,William Morrison,Governor-General - Australia - Illness - pulmonary embolism - Canberra,Australia
G67,List of heads of state and government who died in office,Rafael Trujillo,de facto leader - Dominican Republic - Assassination - shooting - Ciudad Trujillo,Dominican Republic
G67,List of heads of state and government who died in office,Abd al-Karim Qasim,Prime Minister - Iraq - Assassination - shooting - Baghdad,Iraq
G67,List of heads of state and government who died in office,Sylvanus Olympio,President - Togo - Assassination - shooting - Lomé,Togo
G67,List of heads of state and government who died in office,Yitzhak Ben-Zvi,President - Israel - NA - Jerusalem,Israel
G67,List of heads of state and government who died in office,John F. Kennedy,President - United States - Assassination - shooting - Dallas,United States
G67,List of heads of state and government who died in office,Sarit Thanarat,Prime Minister - Thailand - Illness - liver failure - Bangkok,Thailand
G67,List of heads of state and government who died in office,Ngo Dinh Diem,President - South Vietnam - Assassination - shooting - Saigon,South Vietnam
G67,List of heads of state and government who died in office,Dimitar Ganev,Chairman of the Presidium of the National Assembly - Bulgaria - NA - Sofia,Bulgaria
G67,List of heads of state and government who died in office,Jigme Palden Dorji,Prime Minister - Bhutan - Assassination - shooting - Phuntsholing,Bhutan
G67,List of heads of state and government who died in office,Otto Grotewohl,Chairman of the Council of Ministers - East Germany - Illness - brain haemorrhage - Berlin,East Germany
G67,List of heads of state and government who died in office,Milton Margai,Prime Minister - Sierra Leone - NA - Freetown,Sierra Leone
G67,List of heads of state and government who died in office,Jawaharlal Nehru,Prime Minister - India - Stroke - New Delhi,India
G67,List of heads of state and government who died in office,Aleksander Zawadzki,Chairman of the Council of State - Poland - Illness - cancer - Warsaw,Poland
G67,List of heads of state and government who died in office,Luis Giannattasio,President - Uruguay - NA - London,Uruguay
G67,List of heads of state and government who died in office,Hassan Ali Mansur,Prime Minister - Iran - Assassination - shooting - Tehran,Iran
G67,List of heads of state and government who died in office,Pierre Ngendandumwe,Prime Minister - Burundi - Assassination - shooting - Bujumbura,Burundi
G67,List of heads of state and government who died in office,Gheorghe Gheorghiu-Dej,President of the State Council - Romania - Illness - lung cancer - Bucharest,Romania
G67,List of heads of state and government who died in office,Adolf Schärf,President - Austria - NA - Vienna,Austria
G67,List of heads of state and government who died in office,Abdul Salam Arif,President - Iraq - Accident - plane crashed on ground - Al Nashwa,Iraq
G67,List of heads of state and government who died in office,Chris Soumokil,President - South Maluku - Execution by firing squad - Ubi Island,South Maluku
G67,List of heads of state and government who died in office,Abubakar Tafawa Balewa,Prime Minister - Nigeria - Assassination - shooting - Lagos,Nigeria
G67,List of heads of state and government who died in office,Lal Bahadur Shastri,"Prime Minister - India - Disputed, officially ruled to be a heart attack, but suspected to be poisoned - Tashkent",India
G67,List of heads of state and government who died in office,Hendrik Verwoerd,Prime Minister - South Africa - Assassination - stabbing - Cape Town,South Africa
G67,List of heads of state and government who died in office,Johnson Aguiyi-Ironsi,Head of State - Nigeria - Assassination - shooting - Lagelu,Nigeria
G67,List of heads of state and government who died in office,René Schick,President - Nicaragua - Heart attack - Managua,Nicaragua
G67,List of heads of state and government who died in office,Óscar Diego Gestido,President - Uruguay - Heart attack - Montevideo,Uruguay
G67,List of heads of state and government who died in office,Georges Vanier,Governor General - Canada - Illness - Ottawa,Canada
G67,List of heads of state and government who died in office,Léon M'ba,President - Gabon - Illness - cancer - Paris,Gabon
G67,List of heads of state and government who died in office,Donald Burns Sangster,Prime Minister - Jamaica - Illness - subarachnoid haemorrhage - Montreal,Jamaica
