Category ID,Category,Event,Event description,Country
G81,Coup attempts,Cuba 1952-03-10,Successful coup in Cuba,Cuba
G81,Coup attempts,Cuba 1957-09-05,Unsuccessful coup in Cuba,Cuba
G81,Coup attempts,Haiti 1950-05-10,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1957-04-02,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1957-05-21,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1957-06-14,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1970-04-24,Unsuccessful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1986-02-07,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1988-06-20,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1988-09-18,Successful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1989-04-02,Unsuccessful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1989-04-05,Unsuccessful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1991-01-07,Unsuccessful coup in Haiti,Haiti
G81,Coup attempts,Haiti 1991-09-30,Successful coup in Haiti,Haiti
G81,Coup attempts,Dominican Republic 1962-01-16,Unsuccessful coup in Dominican Republic,Dominican Republic
G81,Coup attempts,Dominican Republic 1963-09-25,Successful coup in Dominican Republic,Dominican Republic
G81,Coup attempts,Dominican Republic 1965-04-25,Successful coup in Dominican Republic,Dominican Republic
G81,Coup attempts,Dominican Republic 1965-11-22,Unsuccessful coup in Dominican Republic,Dominican Republic
G81,Coup attempts,Dominica 1981-12-19,Unsuccessful coup in Dominica,Dominica
G81,Coup attempts,Grenada 1979-03-13,Successful coup in Grenada,Grenada
G81,Coup attempts,Grenada 1983-10-14,Successful coup in Grenada,Grenada
G81,Coup attempts,Guatemala 1954-06-29,Successful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1955-01-20,Unsuccessful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1957-10-24,Successful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1960-11-13,Unsuccessful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1962-11-25,Unsuccessful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1963-03-30,Successful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1982-03-23,Successful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1983-08-08,Successful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1988-05-11,Unsuccessful coup in Guatemala,Guatemala
G81,Coup attempts,Guatemala 1989-05-09,Unsuccessful coup in Guatemala,Guatemala
G81,Coup attempts,Honduras 1956-08-01,Unsuccessful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1956-10-21,Successful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1959-07-12,Unsuccessful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1963-10-03,Successful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1972-12-04,Successful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1975-04-22,Successful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1977-10-21,Unsuccessful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1978-08-07,Successful coup in Honduras,Honduras
G81,Coup attempts,Honduras 1999-07-30,Unsuccessful coup in Honduras,Honduras
G81,Coup attempts,Honduras 2009-06-28,Successful coup in Honduras,Honduras
G81,Coup attempts,El Salvador 1960-10-26,Successful coup in El Salvador,El Salvador
G81,Coup attempts,El Salvador 1961-01-25,Successful coup in El Salvador,El Salvador
G81,Coup attempts,El Salvador 1972-03-25,Unsuccessful coup in El Salvador,El Salvador
G81,Coup attempts,El Salvador 1979-10-15,Successful coup in El Salvador,El Salvador
G81,Coup attempts,Panama 1951-05-09,Successful coup in Panama,Panama
G81,Coup attempts,Panama 1968-10-12,Successful coup in Panama,Panama
G81,Coup attempts,Panama 1969-12-14,Unsuccessful coup in Panama,Panama
G81,Coup attempts,Panama 1988-03-16,Unsuccessful coup in Panama,Panama
G81,Coup attempts,Panama 1989-10-03,Unsuccessful coup in Panama,Panama
G81,Coup attempts,Colombia 1953-06-13,Successful coup in Colombia,Colombia
G81,Coup attempts,Colombia 1957-05-10,Successful coup in Colombia,Colombia
G81,Coup attempts,Colombia 1958-05-02,Unsuccessful coup in Colombia,Colombia
G81,Coup attempts,Colombia 1961-10-11,Unsuccessful coup in Colombia,Colombia
G81,Coup attempts,Venezuela 1952-09-29,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1958-01-01,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1958-07-22,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1958-09-07,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1960-09-12,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1961-02-20,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1961-06-26,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1962-05-04,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1962-06-02,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1966-10-30,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1992-02-04,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 1992-11-27,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Venezuela 2002-04-12,Unsuccessful coup in Venezuela,Venezuela
G81,Coup attempts,Suriname 1980-02-25,Successful coup in Suriname,Suriname
G81,Coup attempts,Suriname 1980-08-15,Successful coup in Suriname,Suriname
G81,Coup attempts,Ecuador 1952-03-03,Unsuccessful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1954-12-23,Unsuccessful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1956-08-07,Unsuccessful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1961-11-08,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1963-07-11,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1966-03-29,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1972-02-15,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1975-09-01,Unsuccessful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1976-01-11,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 1986-03-08,Unsuccessful coup in Ecuador,Ecuador
G81,Coup attempts,Ecuador 2000-01-21,Successful coup in Ecuador,Ecuador
G81,Coup attempts,Peru 1954-08-10,Unsuccessful coup in Peru,Peru
G81,Coup attempts,Peru 1956-02-16,Unsuccessful coup in Peru,Peru
G81,Coup attempts,Peru 1962-07-18,Successful coup in Peru,Peru
G81,Coup attempts,Peru 1963-03-03,Successful coup in Peru,Peru
G81,Coup attempts,Peru 1968-10-03,Successful coup in Peru,Peru
G81,Coup attempts,Peru 1975-08-29,Successful coup in Peru,Peru
G81,Coup attempts,Peru 1992-11-13,Unsuccessful coup in Peru,Peru
G81,Coup attempts,Peru 2000-10-30,Unsuccessful coup in Peru,Peru
G81,Coup attempts,Brazil 1955-11-11,Successful coup in Brazil,Brazil
G81,Coup attempts,Brazil 1959-12-03,Unsuccessful coup in Brazil,Brazil
G81,Coup attempts,Brazil 1963-09-12,Unsuccessful coup in Brazil,Brazil
G81,Coup attempts,Brazil 1964-03-30,Successful coup in Brazil,Brazil
G81,Coup attempts,Brazil 1964-04-01,Successful coup in Brazil,Brazil
G81,Coup attempts,Brazil 1969-08-31,Successful coup in Brazil,Brazil
G81,Coup attempts,Bolivia 1950-07-22,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1951-05-16,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1952-04-09,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1953-01-06,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1958-10-21,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1959-04-19,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1960-03-19,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1964-11-03,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1969-09-26,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1970-10-06,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1971-01-10,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1971-08-22,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1974-06-05,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1978-07-21,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1978-11-24,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1979-10-11,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1979-11-01,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1980-07-17,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1981-05-15,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1981-05-25,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1981-06-27,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1981-08-03,Successful coup in Bolivia,Bolivia
G81,Coup attempts,Bolivia 1984-06-30,Unsuccessful coup in Bolivia,Bolivia
G81,Coup attempts,Paraguay 1954-05-05,Successful coup in Paraguay,Paraguay
G81,Coup attempts,Paraguay 1955-12-21,Unsuccessful coup in Paraguay,Paraguay
G81,Coup attempts,Paraguay 1989-02-03,Successful coup in Paraguay,Paraguay
G81,Coup attempts,Paraguay 2000-05-18,Unsuccessful coup in Paraguay,Paraguay
G81,Coup attempts,Chile 1973-06-29,Unsuccessful coup in Chile,Chile
G81,Coup attempts,Chile 1973-09-11,Successful coup in Chile,Chile
G81,Coup attempts,Argentina 1951-09-28,Unsuccessful coup in Argentina,Argentina
