Category ID,Category,Event,Event description,Country,,,,,,,,,,
G76,List of deadly floods,"2004 China flood, mountain torrents, mud-rock flows, landslide","Year: 2004; Location: China; Deaths: 1,029",China,,,,,,,,,,
G76,List of deadly floods,1961 Bihar flood,"Year: 1961; Location: India; Deaths: 1,000",India,,,,,,,,,,
G76,List of deadly floods,"Barcelona, flash flood",Year: 1962; Location: Spain; Deaths: 915,Spain,,,,,,,,,,
G76,List of deadly floods,January 2011 Rio de Janeiro floods and mudslides,Year: 2011; Location: Brazil; Deaths: 903,Brazil,,,,,,,,,,
G76,List of deadly floods,1977 Karachi flood,Year: 1977; Location: Pakistan; Deaths: 848,Pakistan,,,,,,,,,,
G76,List of deadly floods,2006 North Korean floods,Year: 2006; Location: North Korea; Deaths: 844,North Korea,,,,,,,,,,
G76,List of deadly floods,"Algiers, Bab El Oued, devastating flood, mudslide",Year: 2001; Location: Algeria; Deaths: 827,Algeria,,,,,,,,,,
G76,List of deadly floods,2000 Mozambique flood,Year: 2000; Location: Mozambique; Deaths: 800,Mozambique,,,,,,,,,,
G76,List of deadly floods,"2006 Ethiopia flood, mainly Omo River Delta, Dire Dawa, Tena, Gode, flash flood, heavyrain",Year: 2006; Location: Ethiopia; Deaths: 705,Ethiopia,,,,,,,,,,
G76,List of deadly floods,"2009 August 8 flood, due to Typhoon Morakot, An entire village of Shiaolin was buried at the southern county of Kaohsiung",Year: 2009; Location: Taiwan; Deaths: 677,Taiwan,,,,,,,,,,
G76,List of deadly floods,1972 Seoul flood,Year: 1972; Location: South Korea; Deaths: 672,South Korea,,,,,,,,,,
G76,List of deadly floods,1972 Luzon flood,Year: 1972; Location: Philippines; Deaths: 653,Philippines,,,,,,,,,,
G76,List of deadly floods,1987 Villatina landslide disaster,Year: 1987; Location: Colombia; Deaths: 640,Colombia,,,,,,,,,,
G76,List of deadly floods,2007 North Korean floods,Year: 2007; Location: North Korea; Deaths: 610,North Korea,,,,,,,,,,
G76,List of deadly floods,1999 Vietnamese floods,Year: 1999; Location: Vietnam; Deaths: 595,Vietnam,,,,,,,,,,
G76,List of deadly floods,Hanoi and Red River Delta flood,Year: 1971; Location: North Vietnam; Deaths: 594,Vietnam,,,,,,,,,,
G76,List of deadly floods,1969 Tunisia flooding,Year: 1969; Location: Tunisia; Deaths: 540,Tunisia,,,,,,,,,,
G76,List of deadly floods,"Cuzco, Huallaga, torrential rain, flooding, landslide",Year: 1982; Location: Peru; Deaths: 532,Peru,,,,,,,,,,
G76,List of deadly floods,"1967 Massive rain of Japan, mainly, Kobe, Kure, Agano River, massive rain and landslide",Year: 1967; Location: Japan; Deaths: 517,Japan,,,,,,,,,,
G76,List of deadly floods,KwaZulu-Natal,Year: 1987; Location: South Africa; Deaths: 506,South Africa,,,,,,,,,,
G76,List of deadly floods,"Malawi, flash flood and landslide",Year: 1991; Location: Malawi; Deaths: 500,Malawi,,,,,,,,,,
G76,List of deadly floods,2018 East Africa floods,"Year: 2018; Location: Kenya, Ethiopia, Uganda, Rwanda, and Somalia; Deaths: 500",Kenya,Ethiopia,Uganda,Rwanda,Somalia,,,,,,
G76,List of deadly floods,2018 Kerala floods,Year: 2018; Location: India; Deaths: 483,India,,,,,,,,,,
G76,List of deadly floods,Lisbon flash flood,Year: 1967; Location: Portugal; Deaths: 464,Portugal,,,,,,,,,,
G76,List of deadly floods,2016 China floods,Year: 2016; Location: China; Deaths: 449+,China,,,,,,,,,,
G76,List of deadly floods,"Western Japan, massive rains and landslides",Year: 1972; Location: Japan; Deaths: 445,Japan,,,,,,,,,,
G76,List of deadly floods,"1967 Brazil flood, mainly Rio de Janeiro, São Paulo, flood and landslide",Year: 1967; Location: Brazil; Deaths: 437,Brazil,,,,,,,,,,
G76,List of deadly floods,"2015 Tamil Nadu floods Chennai, Cuddalore and Andhra Pradesh named 2015 South Indian floods",Year: 2015; Location: India; Deaths: 431,India,,,,,,,,,,
G76,List of deadly floods,"2002 Nepal flood, mainly occurred at Makwanpur, monssnal rain, flood, landslide",Year: 2002; Location: Nepal; Deaths: 429,Nepal,,,,,,,,,,
G76,List of deadly floods,"October 1999 Mexico floods, mainly occurred at Tabasco, Puebla, Chiapas, flood and mudslide as a result from Tropical Depression Eleven",Year: 1999; Location: Mexico; Deaths: 425,Mexico,,,,,,,,,,
G76,List of deadly floods,"1969 South Korea flood, mainly, Gyeongsangbuk-do, Gyeongsangnam-do, Gangwon-do, torrential rain, landslide",Year: 1969; Location: South Korea; Deaths: 408,South Korea,,,,,,,,,,
G76,List of deadly floods,"1993 Iran flood, mainly occurred at Isfahan, Bandar Abass, flash flood and landslide",Year: 1993; Location: Iran; Deaths: 407,Iran,,,,,,,,,,
G76,List of deadly floods,"1998 South Korea flood, heavy massive rain, landslide",Year: 1998; Location: South Korea; Deaths: 405,South Korea,,,,,,,,,,
G76,List of deadly floods,"Thailand, Malaysia, mainly, Nakhon, Songkhla, Kelantan, torrential rain","Year: 1988; Location: Thailand, Malaysia; Deaths: 386",Thailand,Malaysia,,,,,,,,,
G76,List of deadly floods,"1966 Rio de Janeiro flood, flood and landslide",Year: 1966; Location: Brazil; Deaths: 373,Brazil,,,,,,,,,,
G76,List of deadly floods,"Piura, Tumbes, torrential rain, flooding, landslide",Year: 1983; Location: Peru; Deaths: 364,Peru,,,,,,,,,,
G76,List of deadly floods,2007 African Nations flood,"Year: 2007; Location: mainly Sudan, Nigeria, Burkina Faso, Ghana, Kenya, and many African country; Deaths: 353",Sudan,Nigeria,Burkina Faso,Ghana,Kenya,,,,,,
G76,List of deadly floods,1996 Yemen flood,Year: 1996; Location: Yemen; Deaths: 347,Yemen,,,,,,,,,,
G76,List of deadly floods,"1987 South Korea flood, mainly, Chungchongnam-do, Jeollanam-do, Kangwon, torrential rain, landslide",Year: 1987; Location: South Korea; Deaths: 345,South Korea,,,,,,,,,,
G76,List of deadly floods,2006 East African Flood,"Year: 2006; Location: Kenya, Ethiopia, Somalia; Deaths: 342",Kenya,Ethiopia,Somalia,,,,,,,,
G76,List of deadly floods,North Sea flood of 1962 storm tide,Year: 1962; Location: Germany; Deaths: 315,Germany,,,,,,,,,,
G76,List of deadly floods,"2003 Sumatra flood, mainly Jambi, Batanghari, Tondano, torrential rain, flash flood, landslide",Year: 2003; Location: Indonesia; Deaths: 313,Indonesia,,,,,,,,,,
G76,List of deadly floods,2021 Henan floods,Year: 2021; Location: China; Deaths: 302,China,,,,,,,,,,
G76,List of deadly floods,Pampayacta avalanche,Year: 1963; Location: Peru; Deaths: 300,Peru,,,,,,,,,,
G76,List of deadly floods,"Quebrada Blanca canyon, landslide",Year: 1974; Location: Colombia; Deaths: 300,Colombia,,,,,,,,,,
G76,List of deadly floods,"Nagasaki, massive rain and landslide",Year: 1982; Location: Japan; Deaths: 299,Japan,,,,,,,,,,
G76,List of deadly floods,Rio de Janeiro and Fluminense flood,Year: 1988; Location: Brazil; Deaths: 290,Brazil,,,,,,,,,,
G76,List of deadly floods,"1973 Granada, Almeria, Murcia flood",Year: 1973; Location: Spain; Deaths: 272,Spain,,,,,,,,,,
G76,List of deadly floods,Val di Stava dam disaster,Year: 1985; Location: Italy; Deaths: 268,Italy,,,,,,,,,,
G76,List of deadly floods,1966 Maian flood,Year: 1966; Location: Jordan; Deaths: 259,Jordan,,,,,,,,,,
G76,List of deadly floods,1998 Tajikistan flood,Year: 1998; Location: Tajikistan; Deaths: 255,Tajikistan,,,,,,,,,,
G76,List of deadly floods,2021 Maharashtra floods,Year: 2021; Location: India; Deaths: 251,India,,,,,,,,,,
G76,List of deadly floods,La Josefina landslide dam failure,Year: 1993; Location: Ecuador; Deaths: 250,Ecuador,,,,,,,,,,
G76,List of deadly floods,April 2010 Rio de Janeiro floods and mudslides,"Year: 2010; Location: Rio de Janeiro, Brazil; Deaths: 246+",Brazil,,,,,,,,,,
G76,List of deadly floods,2021 European floods,"Year: 2021; Location: Austria, Belgium, Germany, Italy, Luxembourg, Netherlands, Switzerland, United Kingdom, Romania, Czech Republic, Croatia; Deaths: 242",Austria,Belgium,Germany,Italy,Luxembourg,Netherlands,Switzerland,UK,Romania,Czech Republic,Croatia
G76,List of deadly floods,2017 Gujarat flood,"Year: 2017; Location: Gujarat and Rajasthan, India; Deaths: 240",India,,,,,,,,,,
G76,List of deadly floods,Black Hills flood,Year: 1972; Location: United States; Deaths: 238,United States,,,,,,,,,,
G76,List of deadly floods,2009 Philippine Floods,Year: 2009; Location: Philippines; Deaths: 235-244,Philippines,,,,,,,,,,
G76,List of deadly floods,2020 Central Vietnam floods,"Year: 2020; Location: Vietnam, Cambodia, Laos; Deaths: 233",Vietnam,Cambodia,Laos,,,,,,,,
G76,List of deadly floods,Marrakesh flash flood,Year: 1995; Location: Morocco; Deaths: 230,Morocco,,,,,,,,,,
G76,List of deadly floods,2007 Balochistan flood by Cyclone Yemyin,Year: 2007; Location: Pakistan; Deaths: 228,Pakistan,,,,,,,,,,
G76,List of deadly floods,2012 North Korean floods,Year: 2012; Location: North Korea; Deaths: 223,North Korea,,,,,,,,,,
G76,List of deadly floods,2018 Japan floods,Year: 2018; Location: Japan; Deaths: 225,Japan,,,,,,,,,,
G76,List of deadly floods,2017 China floods,Year: 2017; Location: China; Deaths: 203+,China,,,,,,,,,,
G76,List of deadly floods,"Chungar landslide, flood, avalanche",Year: 1971; Location: Peru; Deaths: 200-600,Peru,,,,,,,,,,
G76,List of deadly floods,2008 South China floods,Year: 2008; Location: South China; Deaths: 200+,China,,,,,,,,,,
G76,List of deadly floods,"Pamir Mountain area, mud and rock slides, torrential rain",Year: 1992; Location: Tajikistan; Deaths: 200,Tajikistan,,,,,,,,,,
G76,List of deadly floods,"Santa Catarina, Tubarão, torrential heavy rain",Year: 1974; Location: Brazil; Deaths: 199,Brazil,,,,,,,,,,
G76,List of deadly floods,2009 El Salvador floods and mudslides,Year: 2009; Location: El Salvador; Deaths: 199,El Salvador,,,,,,,,,,
G76,List of deadly floods,2012 Russian floods,Year: 2012; Location: Krymsk; Deaths: 172,Russia,,,,,,,,,,
G76,List of deadly floods,"2004 Brazil flood, mainly São Paulo, Pemambuco, torrential rain, mudslide",Year: 2004; Location: Brazil; Deaths: 165,Brazil,,,,,,,,,,
G76,List of deadly floods,Sarno flood and landslide,Year: 1998; Location: Italy; Deaths: 159,Italy,,,,,,,,,,
G76,List of deadly floods,KwaZulu-Natal,Year: 1995; Location: South Africa; Deaths: 154,South Africa,,,,,,,,,,
G76,List of deadly floods,2010-2011 Southern Africa floods,Year: 2011; Location: Africa; Deaths: 141+,Africa,,,,,,,,,,
G76,List of deadly floods,2019 Pakistan floods and storms,Year: 2019; Location: Pakistan; Deaths: 140+,Pakistan,,,,,,,,,,
G76,List of deadly floods,2010 Colombia floods,Year: 2010; Location: Colombia; Deaths: 138,Colombia,,,,,,,,,,
G76,List of deadly floods,"Ozengeli, avalanche",Year: 1993; Location: Turkey; Deaths: 135,Turkey,,,,,,,,,,
G76,List of deadly floods,"Izumo, massive rain and mudslide",Year: 1964; Location: Japan; Deaths: 128,Japan,,,,,,,,,,
G76,List of deadly floods,2010 Leh floods,"Year: 2010; Location: Jammu and Kashmir, Pakistan/India; Deaths: 125+",India,Pakistan,,,,,,,,,
G76,List of deadly floods,"2009 Jeddah Torrential rain, floods",Year: 2009; Location: Saudi Arabia; Deaths: 123,Saudi Arabia,,,,,,,,,,
G76,List of deadly floods,1986 Northern Vietnam floods,Year: 1986; Location: Vietnam; Deaths: 121,Vietnam,,,,,,,,,,
G76,List of deadly floods,"1991 Antofagasta Flood, mud swept",Year: 1991; Location: Chile; Deaths: 120,Chile,,,,,,,,,,
G76,List of deadly floods,"2007 Central and East Java torrential monsoon rain, landslide, flood",Year: 2007; Location: Indonesia; Deaths: 119,Indonesia,,,,,,,,,,
G76,List of deadly floods,"Masuda, massive rain and landslide",Year: 1983; Location: Japan; Deaths: 117,Japan,,,,,,,,,,
G76,List of deadly floods,"1990 South Korea flood, Seoul, Inchon, heavy rain",Year: 1990; Location: South Korea; Deaths: 114,South Korea,,,,,,,,,,
G76,List of deadly floods,2019 Jayapura flood and landslide,Year: 2019; Location: Indonesia; Deaths: 113,Indonesia,,,,,,,,,,
G76,List of deadly floods,"2021 Afghanistan flood, 2021 Nuristan floods",Year: 2021; Location: Afghanistan; Deaths: 113,Afghanistan,,,,,,,,,,
G76,List of deadly floods,"Southern Federal District, heavy rain, landslide",Year: 2002; Location: Russia; Deaths: 110,Russia,,,,,,,,,,
G76,List of deadly floods,1997 Central European flood,"Year: 1997; Location: Poland, Czech Republic; Deaths: 106",Poland,Czech Republic,,,,,,,,,
G76,List of deadly floods,1981 Laingsburg flood,Year: 1981; Location: South Africa; Deaths: 104,South Africa,,,,,,,,,,
G76,List of deadly floods,2013 Argentina floods,Year: 2013; Location: Argentina; Deaths: 101,Argentina,,,,,,,,,,
G76,List of deadly floods,2016 Sri Lankan floods,Year: 2016; Location: Sri Lanka; Deaths: 101,Sri Lanka,,,,,,,,,,
G76,List of deadly floods,2008 Vietnam floods,"Year: 2008; Location: Vietnam, China; Deaths: 100",Vietnam,China,,,,,,,,,
