Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Thailand,THA,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",United States of America (the),USA,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Viet Nam,VNM,Geography
G3,Inter-state wars,Vietnamese-Cambodian,"Inter-state war: Vietnam, Cambodia",Cambodia,KHM,Both
G3,Inter-state wars,Vietnamese-Cambodian,"Inter-state war: Vietnam, Cambodia",Viet Nam,VNM,Geography
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",France,FRA,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Germany,DEU,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Italy,ITA,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Kosovo,,Both
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Montenegro,MNE,Both
