Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Kuwait,KWT,Both
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Morocco,MAR,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Oman,OMN,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Qatar,QAT,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Saudi Arabia,SAU,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",Syrian Arab Republic (the),SYR,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United Arab Emirates (the),ARE,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Gulf War,"Inter-state war: Kuwait, United States of America, Canada, United Kingdom, Italy, Morocco, Iraq, Egypt, Oman, France, United Arab Emirates, Qatar, Saudi Arabia, Syria",United States of America (the),USA,Polity
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Czechoslovakia,CSK,Polity
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Hungary,HUN,Both
G3,Inter-state wars,Hungarian Adversaries,"Inter-state war: Hungary, Czechoslovakia, Romania",Romania,ROU,Both
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",France,FRA,Polity
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",Morocco,MAR,Both
G3,Inter-state wars,IfniWar,"Inter-state war: France, Spain, Morocco",Spain,ESP,Polity
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Afghanistan,AFG,Both
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Australia,AUS,Polity
G3,Inter-state wars,Invasion of Afghanistan,"Inter-state war: Canada, France, United Kingdom, United States of America, Australia, Afghanistan",Canada,CAN,Polity
