Category ID,Category,Event,Event description,Country
G14,Crowd crushes,"Shiloh Baptist Church stampede - Birmingham, Alabama, United States",Crush following a false fire alarm at a convention featuring Booker T. Washington.,United States
G14,Crowd crushes,"Iroquois Theatre fire - Chicago, United States",Most deaths caused by crush asphyxiation in the rush to escape.,United States
G14,Crowd crushes,"Barnsley Public Hall disaster - Barnsley, England, United Kingdom","Children attempting to view a show were crushed on the stairs when the hall became overcrowded, resulting in the deaths of 16 children.",United Kingdom
G14,Crowd crushes,"Collinwood school fire - Collinwood, Ohio, United States","One rescue worker, two teachers, and 172 children between the ages of five and fifteen were killed. Most of the children were killed in a stairwell when some were trying to escape down the stairs while others, who had found escape impossible that way, were trying to flee up the stairs.",United States
G14,Crowd crushes,"Italian Hall disaster - Calumet, Michigan, United States","The event is considered the source for the often-cited legal limit of protected speech, i.e., that one may not falsely shout ""Fire!"" in a crowded theater.",United States
G14,Crowd crushes,"Bolivar crowd crush [fr] - , Paris, France","Following a bomb attack during World War I, Parisians tried to enter the Bolivar metro station, but the gates down the stairs only opened to the outside. The first rows of the crowd were crushed or suffocated by those behind them.",France
G14,Crowd crushes,"Glen Cinema disaster - Paisley, Scotland, United Kingdom",Caused by a smoking film canister. The resulting panic and crush initially killed 69 children and injured 40; two others later succumbed.,United Kingdom
G14,Crowd crushes,"Kyoto Railroad Station tragedy - Kyoto, Japan","A crowd of about 10,000 saying farewell to 750 recruits of the Imperial Japanese Navy collapsed at the bottom of a stairway from a viaduct leading over the tracks down to the platform. The number far exceeded the station's capacity.",Japan
G14,Crowd crushes,"Chongqing tunnel massacre [zh] - Chongqing, China","Thousands rushed to the Shiba Ti Tunnel bomb shelter during the Japanese Bombing of Chongqing in the Second Sino-Japanese War and were locked from the outside. Crowding and lack of oxygen caused a stampede to get out, crushing many.",China
G14,Crowd crushes,"Unnamed - Genoa, Italy","Crowd crush during an attack by the RAF Bomber Command in World War II as they made their way into Galleria delle Grazie, a railway tunnel used as an air-raid shelter. Rushing down the 150 steps leading underground into the shelter, people fell on top of one another.",Italy
G14,Crowd crushes,"Bethnal Green tube station disaster - London, United Kingdom","People were entering the station during an air-raid alert during World War II, and a woman holding a child lost her footing and fell down the stairs, leading to the crowd falling around her in a crush.",United Kingdom
G14,Crowd crushes,"Hartford circus fire - Hartford, Connecticut, United States","A fire broke out at a performance of the Ringling Brothers and Barnum & Bailey Circus. Many died after being trampled by other spectators, with some asphyxiating underneath the piles of people who fell over each other. Most of the dead were found in piles, some three bodies deep, at the most congested exits. A small number of people were found alive at the bottoms of these piles, protected by the bodies on top of them when the burning big top ultimately fell down.",United States
G14,Crowd crushes,"Burnden Park disaster - Bolton, England, United Kingdom","At an FA Cup Quarter-final between Bolton Wanderers and Stoke City, the collapse of two crash barriers in an overcrowded stand led to the crowd falling forward upon each other.",United Kingdom
G14,Crowd crushes,"Santa Teresa Church tragedy [es] - Caracas, Venezuela","Occurred when someone shouted ""Fire!"" in the Basilica of St. Teresa. 40 people were arrested in connection with the crush. Two men who were arrested on the day of the crush were released. The panic started when an elderly devotee brushed against the veil which was holding candles in the head, making a small fire that alarmed those responsible for the panic.",Venezuela
G14,Crowd crushes,"Stalin funeral crush - Moscow, Soviet Union",A crush in Trubnaya Square during the state funeral of Joseph Stalin.,Soviet Union
G14,Crowd crushes,"1954 Prayag Kumbh Mela stampede - Allahabad, India","A surging crowd broke through the barriers separating them from a procession of sadhus and holy men of various akharas, resulting in a crush.",India
G14,Crowd crushes,"Unnamed - Yahiko, Niigata, Japan",New Year panic and crush at the Yahiko Shinto shrine.,Japan
G14,Crowd crushes,"Busan Stadium crush - Busan, South Korea","Heavy rain forced spectators to rush towards the upper sections of the municipal stadium, leading to the crush.",South Korea
G14,Crowd crushes,"Seoul Station crush - Seoul, South Korea","Occurred two days before the Lunar New Year when many people were returning to their hometowns. About 3,900 people, more than three times the average crowd, flocked to the ticket gate, where 200 tickets were sold for a train with a capacity of 80 people.",South Korea
G14,Crowd crushes,"Estadio Nacional disaster - Lima, Peru","In the worst disaster in association football history, fans disputing a referee's decision during a match between Peru and Argentina began a pitch invasion and police fired tear gas canisters into one of the grandstands to prevent more fans from invading the field, causing panic so that departing spectators moved down the enclosed stairways, pressing those in the lead against solid corrugated steel shutters at the bottom of tunnels, which were closed. The shutters finally burst outward from pressure of the crush of bodies inside. All of those that died were killed in the jammed stairwells, most from internal haemorrhaging by crushing pressure, or by asphyxia. An additional 500 people were injured, many critically.",Peru
G14,Crowd crushes,"Puerta 12 Tragedy - Buenos Aires, Argentina","Fans were caught in a crush at the bottom of the stairs leaving through Gate 12 (Puerta 12 in Spanish) of El Monumental Stadium after a derby between River Plate and Boca Juniors. The exact cause for this crush is not certain, though rival fans might have been throwing burning paper, causing a panic. Other accounts say that the gate was closed, either by police or by other fans, intentionally or unintentionally. Still others argue that it was a simple matter of too many fans going through a gate that was narrower than the staircase leading to it. The disaster remains the deadliest sports-related event in Argentine history.",Argentina
G14,Crowd crushes,"1971 Ibrox disaster - Glasgow, United Kingdom","Stairway barriers collapsed after someone fell as fans were leaving the Ibrox Stadium following a match between Rangers and Celtic, leading to a crush. The tragedy included many children who died, and most of the deaths were caused by compressive asphyxia, with bodies being stacked up to six feet deep in the area. More than 200 others were injured.",United Kingdom
G14,Crowd crushes,"Sokolniki disaster [ru] - Moscow, Soviet Union",Crush after a friendly hockey match at the Sokolniki Sports Palace between the Soviet junior national team and the Canadian junior team Barrie Co-op. 25 others were wounded .,Soviet Union
G14,Crowd crushes,"The Who concert disaster - Cincinnati, Ohio, United States",Crush at a concert by The Who at the Riverfront Coliseum. The incident led to a reduced use of festival seating at U.S. venues.,United States
G14,Crowd crushes,"Unnamed - Fortaleza, Ceará, Brazil","On the 10th day of Pope John Paul II's visit to Brazil, in an effort to get good seats, the crowd at the Castelao Stadium broke down an unguarded gate and trampled those killed in the rush.",Brazil
G14,Crowd crushes,"Karaiskakis Stadium disaster - Piraeus, Greece","While some fans were exiting the stadium after a match between Olympiacos and AEK Athens, some lost their balance and fell on the last steps; soon dozens fell onto each other and were stepped over by a horde of unsuspecting fans who kept coming. 19 people died at the scene, while two more died of their wounds in hospital. At least 55 were wounded.",Greece
G14,Crowd crushes,"Luzhniki disaster - Moscow, Soviet Union","A crush began at a UEFA Cup match between FC Spartak Moscow and HFC Haarlem at Luzhniki Stadium after a person fell and a dense moving crowd, their direction limited by metal banisters, pushed over the fallen, crushing them. Others stumbled over the bodies in a domino effect creating a large chain-reaction pile-up of people.",Soviet Union
G14,Crowd crushes,"Khavarovsk Stadium disaster [ru] - Khabarovsk, Soviet Union","The crush occurred after a ball hockey match at the Lenin Stadium (Khabarovsk). 19 people died, 49 were wounded .",Soviet Union
G14,Crowd crushes,"Heysel Stadium disaster - Brussels, Belgium","A crush occurred by a collapsing wall when fans escaping a confrontation between competing fan groups were pressed against it in the stadium before the start of the 1985 European Cup Final between Liverpool and Juventus. 600 were injured, and the disaster was later described as ""the darkest hour in the history of the UEFA competitions"".",Belgium
G14,Crowd crushes,"Unnamed - Shanyang County, Shaanxi Province, China","At around 7 a.m., children rushed out of their classrooms at Chengguan Primary School after a bell called all pupils to attend a weekly school assembly on the sports field. One metal door at one end of the building was locked, causing the children from all 18 classes to rush down an unlighted stairwell to the only other exit, and some in the front fell over.",China
G14,Crowd crushes,"Kathmandu Stadium disaster - Kathmandu, Nepal","Football fans at Dasarath Rangasala Stadium attending a Tribhuvan Challenge Shield match between Janakpur Cigarette Factory and Bangladeshi side Liberation Army surged towards the only cover during a hailstorm. The crowd was beaten back by police, but when they returned to the south terrace, a crush developed in a tunnel exit through the terrace and could not escape because the stadium doors were locked, causing a fatal crush at the front of the crowd. 100 more were injured.",Nepal
G14,Crowd crushes,"Hillsborough disaster - Sheffield, United Kingdom","In one of the world's worst football disasters, 766 people others were injured at Hillsborough Stadium during an FA Cup match between Liverpool and Nottingham Forest. The intensity of the crush broke the barriers on the terraces, while those trapped were packed so tightly in the pens that many victims died of compressive asphyxia while still standing. The 1990 official inquiry concluded that the primary cause was the failure of police control, as too many people were let into the stadium. A 2012 reinvestigation concluded that crowd safety was compromised at every level by lack of police control.",United Kingdom
G14,Crowd crushes,"Khomeini funeral crush - Tehran, Iran","Crush as millions flocked to the coffin of Ayatollah Khomeini as it was being moved through downtown Tehran, forcing the military to transport the body to Behesht-e Zahra cemetery using a helicopter.",Iran
G14,Crowd crushes,"1990 Mecca tunnel tragedy - Mina, Mecca, Saudi Arabia",A blockage at an exit of a pedestrian tunnel (Al-Ma'aisim tunnel) leading out from Mecca towards Mina and the Plains of Arafat led to deaths by suffocation of many religious pilgrims while they were traveling to perform the Stoning of the Devil ritual during the Hajj.,Saudi Arabia
G14,Crowd crushes,"Orkney Stadium Disaster - Orkney, North West, South Africa","Crush at a football match between Kaizer Chiefs and Orlando Pirates attended by about 30,000 fans in a stadium with a capacity for 23,000. When brawls broke out, people panicked, and trying to escape, were crushed against riot-control fences in the melee.",South Africa
G14,Crowd crushes,"Unnamed - Chalma sanctuary, Mexico State, Mexico","An additional 55 religious pilgrims were injured after being overwhelmed by a crowd trying to enter the atrium of the sanctuary church to receive the divine signal from the ashes. The crowd pushed on for access to the atrium, with most of the dead and injured being trampled.",Mexico
G14,Crowd crushes,"1991 Taiyuan Illumination show crush [zh] - Jikong Bridge, Taiyuan, Shanxi Province, China","Large crowds of unknown size arrived in Yingze Park to see lanterns at a light festival. Crowds moving in opposite directions were crossing a poorly lit bridge. Some fell into the water and were drowned; others were killed in the crowd collapse and crush on the west side of the bridge. In all, 105 people were killed and 108 more were injured.",China
G14,Crowd crushes,"City College stampede - New York City, United States","At an oversold charity basketball game featuring rap stars, 29 others were injured while entering an overcrowded gymnasium while funneling through a small stairwell area at the City College of New York.",United States
G14,Crowd crushes,"Lan Kwai Fong Tragedy - Lan Kwai Fong, Hong Kong","67 others injured as a crowd of 15,000 to 20,000 revelers celebrated New Year's Eve in the city's nightclub district, controlled by 118 police officers. The victims were mostly teenagers and people in their 20s. The Independent reported witnesses as saying it was impossible to distinguish between the yelps of the partying crowd and the victims' agonized screams.",Hong Kong
G14,Crowd crushes,"1994 Hajj stampede - Jamarat Bridge, Mecca, Saudi Arabia",Hajj pilgrims were killed and injured during a crowd crush at the Stoning of the Devil ritual.,Saudi Arabia
G14,Crowd crushes,"1994 Gowari stampede - Nagpur, Maharashtra, India","Gowari people in a political protest, mostly women and children, perished in a crush triggered by cane-wielding police who attempted to prevent the estimated crowd of 40,000 from pressing towards the Vidan Bhavan. 500 others were injured.",India
G14,Crowd crushes,"Ozone Disco fire - Quezon City, Philippines","A fire at a nightclub filled beyond capacity led to a crush at the only exit, whose doors opened inward. Many of the bodies were discovered along the corridor leading to the exit, piled up waist-high.",Philippines
G14,Crowd crushes,"16 October disaster - Guatemala City, Guatemala","147 others were injured on the steep stairway of Estadio Mateo Flores prior to a World Cup qualifying match between Guatemala and Costa Rica. The crowd was estimated at 50,000 in the stadium designed to seat 37,500.",Guatemala
G14,Crowd crushes,"Unnamed - Mecca, Saudi Arabia","Hajj pilgrims were trampled to death, 180 more injured in an incident on the Jamarat Bridge.",Saudi Arabia
G14,Crowd crushes,"1999 Sabarimala stampede - Sabarimala shrine, Kerala, India","When a landslide caused a cave-in during a Hindu pilgrimage on the day of Makara Jyothi, panic ensued and 200,000 male devotees panicked as the hill upon which they stood collapsed into the temple. The BBC reported that ""Some of the dead were buried in the collapse, but most died in a stampede to avoid the landslide.""",India
G14,Crowd crushes,"Nyamiha stampede - Minsk, Belarus","A sudden thunderstorm caused a number of young people to race for nearby shelter during an open-air concert. The crowd was funneled toward the underpass of the Nyamiha metro station and many were killed when they started slipping on the wet pavement, falling and trampling each other.",Belarus
G14,Crowd crushes,"""Air & Style"" crowd crush - Innsbruck, Austria","""Severe crowd accumulation"" at one exit of Bergisel Stadium went unnoticed. Darkness, a steep slope and a slippery surface were contributing factors, but ""panic did not occur at any time."" Four others were left in a vegetative state, and 38 were injured.",Austria
G14,Crowd crushes,"Throb nightclub disaster - Chatsworth, KwaZulu-Natal, South Africa",Children killed and 100 injured after a panic that broke out after a teargas canister detonated during a party for 600 children.,South Africa
G14,Crowd crushes,"Roskilde Festival disaster - Roskilde, Denmark","Occurred as the crowd rushed the stage. Another 26 people were injured, 3 of them seriously.",Denmark
G14,Crowd crushes,"Unnamed - Harare, Zimbabwe",Spectators at a World Cup qualifier between Zimbabwe and South Africa died trying to leave the National Sports Stadium after police fired tear gas to control the crowd.,Zimbabwe
G14,Crowd crushes,"2001 Hajj stampede - Mina, Saudi Arabia",Hajj pilgrims trampled in a crowd crush during the Stoning of the Devil ritual.,Saudi Arabia
G14,Crowd crushes,"Ellis Park Stadium disaster - Johannesburg, South Africa",Crush during a football match between Kaizer Chiefs and Orlando Pirates,South Africa
G14,Crowd crushes,"Accra Sports Stadium disaster - Accra, Ghana",Crush at a football match between Kumasi Asante Kotoko and Accra Hearts of Oak after police fired tear gas at rioters.,Ghana
G14,Crowd crushes,"Akashi crowd crush - Akashi, Japan",247 others injured by a crowd crush after a fireworks show.,Japan
G14,Crowd crushes,"Unnamed - Sofia, Bulgaria",Children aged 10 to 14 killed on the stairway leading to the entrance of a discothèque.,Bulgaria
G14,Crowd crushes,"Unnamed - Mina, Saudi Arabia",Occurred during the Stoning of the Devil ritual of the Hajj pilgrimage.,Saudi Arabia
G14,Crowd crushes,"2003 E2 nightclub stampede - Chicago, United States","Crush in the stairway exit to the nightclub, after a pepper spray was used on an upper-story dance floor.",United States
G14,Crowd crushes,"The Station nightclub fire - West Warwick, Rhode Island, United States",Many of the victims trampled.,United States
G14,Crowd crushes,"2004 Hajj stampede - Mina, Saudi Arabia",Occurred at Jamarat Bridge during the Stoning of the Devil ritual of the Hajj.,Saudi Arabia
G14,Crowd crushes,"2004 Miyun stampede - Miyun County, Beijing, China",15 others injured in a crowd crush during Lantern Festival in Mihong Park.,China
G14,Crowd crushes,"Saree Stampede - Lucknow, India",Women were killed in a crush after people rushed to collect free sarees.,India
G14,Crowd crushes,"Mandher Devi temple stampede - Maharashtra, India",Hindu pilgrims surged near Mandhradevi temple.,India
G14,Crowd crushes,"Unnamed - Tehran, Iran",Crush after Iran-Japan match (2006 FIFA World Cup qualification) when leaving Azadi Stadium.,Iran
G14,Crowd crushes,"2005 Al-Aimmah Bridge disaster - Baghdad, Iraq","Rumors among Shiite pilgrims of a suicide bomber led to mass panic and a crush on the bridge, killing many before it finally collapsed.",Iraq
G14,Crowd crushes,"2005 December Chennai stampede - Chennai, India",Crush as flood relief supplies were handed out to homeless refugees.,India
G14,Crowd crushes,"2006 Hajj stampede - Mina, Saudi Arabia",Occurred at Jamarat Bridge during the Stoning of the Devil ritual of the Hajj.,Saudi Arabia
G14,Crowd crushes,"PhilSports Arena Stampede - Pasig, Metro Manila, Philippines",Crush at the venue of the first anniversary celebrations of ABS-CBN's variety show Wowowee.,Philippines
G14,Crowd crushes,"Unnamed - Ibb Governorate, Yemen",More than 200 others injured in a crush at a campaign rally.,Yemen
G14,Crowd crushes,"Unnamed - Chililabombwe, Zambia",Crush at the end of a football game between Zambia and Republic of Congo.,Zambia
G14,Crowd crushes,"Unnamed - Mughalsarai, Uttar Pradesh, India",Women were crushed to death at a train station.,India
G14,Crowd crushes,"Unnamed - Sunchon, North Korea","Crush after a crowd of 15,000 watched a public execution in a stadium, 34 others injured.",North Korea
G14,Crowd crushes,"2008 Bandung stampede - Bandung, Indonesia",Crush at the launching album concert of the metal band Beside.,Indonesia
G14,Crowd crushes,"Unnamed - Ashok Nagar, Madhya Pradesh, India",More than a dozen others injured at a temple crush during a pilgrimage.,India
G14,Crowd crushes,"New's Divine nightclub tragedy - Mexico City, Mexico",13 others injured at a nightclub crush during a police raid.,Mexico
G14,Crowd crushes,"Naina Devi stampede - Himachal Pradesh, India","47 others injured in a stampede at the Naina Devi temple after a rain shelter collapsed, which worshipers mistakenly took to be a landslide.",India
G14,Crowd crushes,"Unnamed - Butembo, Democratic Republic of Congo","Rumors of players using witchcraft led to rioting at a football match which was dispersed by police using tear gas, causing the crush.",Democratic Republic of Congo
G14,Crowd crushes,"2008 Jodhpur stampede - Jodhpur, India","425 others injured at the Chamunda Devi temple in a panic caused by a rumor that a bomb was planted in the temple complex. Local authorities, however, blamed steep, slippery slopes leading to the temple.",India
G14,Crowd crushes,"Unnamed - Tabora, Tanzania",Children died in a crush in an overcrowded children's dance hall.,Tanzania
G14,Crowd crushes,"Unnamed - Pervouralsk, Russia",Crush at a discotheque. 3 of the dead were schoolgirls. 8 people were injured.,Russia
G14,Crowd crushes,"Houphouët-Boigny Arena stampede - Abidjan, Côte d'Ivoire",130 others injured as fans tried to squeeze into the stadium for a World Cup qualifier between Côte d'Ivoire and Malawi.,Côte d'Ivoire
G14,Crowd crushes,"Unnamed - Xiangxiang, Hunan Province, China","7 boys and one girl aged between 11 and 14 years old were killed and 26 injured in result of a crush in Yucai Middle School. 52 evening classes were dismissed at the same time, and the crush occurred when most of the students tried to exit down the same stairwell. It was raining outside, and that particular stairwell was closest to the dormitories.",China
G14,Crowd crushes,"Pratapgarh stampede - Kunda Pratapgarh, Uttar Pradesh, India",Over 200 others injured at Ram Janki Temple in a crush after the gates of the temple collapsed.,India
G14,Crowd crushes,"Love Parade disaster - Duisburg, Germany",More than 500 others injured during crowd turbulences.,Germany
G14,Crowd crushes,"Phnom Penh stampede - Phnom Penh, Cambodia",Crowd crush during a water festival near the Royal Palace.,Cambodia
G14,Crowd crushes,"2011 Sabarimala crowd crush - Kerala, India",100 others injured by a crowd crush near Sabarimala temple.,India
G14,Crowd crushes,"Unnamed - Port Harcourt, Nigeria","Crush after a PDP political rally after guards did not open a larger gate, and shot into the air to try to disperse the crowds.",Nigeria
G14,Crowd crushes,"Unnamed - Haridwar, Uttarakhand, India",Crush during a religious ceremony on the banks of the Ganges river.,India
G14,Crowd crushes,"Port Said Stadium riot - Port Said, Egypt","In the Port Said Stadium, Al Masry fans attacked Al-Ahly fans during an Egyptian Premier League football match, caused a crush that left 200 others injured.",Egypt
G14,Crowd crushes,"Unnamed - Patna, Bihar, India","Crush occurred during Chhath Puja at the Adalat Ganj area ghat. At least 20 more were also injured, several critically. While it was originally believed that a collapsed bamboo bridge was the cause, later investigations determined that electricity being cut to the ghat was what led to panic.",India
G14,Crowd crushes,"2013 Houphouët-Boigny stampede - Abidjan, Côte d'Ivoire","26 children among those killed, and more than 200 injured at the Stade Félix Houphouët-Boigny during a New Year's fireworks celebration.",Côte d'Ivoire
G14,Crowd crushes,"Unnamed - Luanda, Angola",120 others injured as they tried to enter the overcrowded Estádio da Cidadela for a New Year's Eve vigil.,Angola
G14,Crowd crushes,"Kiss nightclub fire - Santa Maria, Rio Grande do Sul, Brazil",168 others injured as a result of a nightclub fire. According to local authorities the fire began on stage after members of the band flared a pyrotechnic device that ignited flammable acoustic foam in the ceiling. Other reasons for the high death toll included the lack of emergency exits and the excessive number of people present.,Brazil
G14,Crowd crushes,"2013 Kumbh Mela stampede - Allahabad, India","During the Hindu festival of Kumbh Mela, a crowd crush at the train station injured 39 others.",India
G14,Crowd crushes,"Unnamed - Nabire, Papua, Indonesia",Spectators died escaping the Kota Lama Sport Stadium when a riot broke out after a boxing match.,Indonesia
G14,Crowd crushes,"2013 Madhya Pradesh stampede - Datia district, Madhya Pradesh, India","During the Hindu festival Navratri, a crush near the Ratangarh Mata Temple injured more than 100 others.",India
G14,Crowd crushes,"Unnamed - Uke, Anambra state, Nigeria","Shortly after a vigil at the Holy Ghost Adoration Center, 200 others injured in a crush on one of the narrow roads leading out of the town, though the center was over capacity.",Nigeria
G14,Crowd crushes,"Unnamed - Xiji County, Ningxia, China",Crush at the Beida Mosque due to mismanagement of crowds at the commemoration of a late religious figure.,China
G14,Crowd crushes,"2014 Mumbai stampede - Mumbai, India","At least 40 more were injured, when crowds coming to mourn Muslim spiritual leader Syedna Mohammed Burhanuddin became trapped against a gate at his residence.",India
G14,Crowd crushes,"2014 Nigeria Immigration Service recruitment tragedy - Various, Nigeria","Up to 24 recruits were killed and more than 119 were injured at several stadiums and other venues across Nigeria when 520,000 applicants were invited to take the aptitude test and physical exercises in order to get one of 4,556 available positions with the Nigerian Immigration Service. As many as one million might have shown up for the event at one of its 37 sites. In many cases, security forces fired their rifles into the air for crowd control, which triggered deadly panics. In at least one location the release of teargas had the same effect. In several locations there was no effective queuing, and all candidates had to enter the stadium through a single door.",Nigeria
G14,Crowd crushes,"Unnamed - Kikwit, Democratic Republic of Congo","During a memorial concert for singer King Kester Emeneya, power was lost to the stadium and a crush formed at the exit.",Democratic Republic of Congo
G14,Crowd crushes,"2014 Stade Tata Raphaël disaster - Kinshasa, Democratic Republic of Congo",Crush at a football match between TP Mazembe and Vita Club when police fired a tear gas canister in order to control the crowds.,Democratic Republic of Congo
G14,Crowd crushes,"Unnamed - Conakry, Guinea",Crush at the end of a rap concert after the attendees tried to leave the venue through a small gate.,Guinea
G14,Crowd crushes,"2014 Patna stampede - Patna, India",26 others injured in a crowd crush shortly after the Dussehra celebrations at the Gandhi Maidan.,India
G14,Crowd crushes,"2014 Multan stampede - Multan District, Punjab, Pakistan","40 others injured as a result of a crush at Ibn-e-Qasim Bagh Stadium after a speech of Pakistan Tehreek-e-Insaf party chairman, Imran Khan. The latter alleged that only two gates of the venue were opened at the end of the rally and the lights were also switched off, but this was later denied by the DCO and local authorities.",Pakistan
G14,Crowd crushes,"Kwekwe stadium stampede - Kwekwe, Zimbabwe",40 others injured in a crush during a religious service.,Zimbabwe
G14,Crowd crushes,"2014 Shanghai stampede - Shanghai, China",42 others injured in a crush during New Year's celebrations at The Bund.,China
G14,Crowd crushes,"30 June Stadium stampede - Cairo, Egypt",Crush at a football game between Zamalek and ENPPI.,Egypt
G14,Crowd crushes,"2015 Haiti Carnival stampede - Port-au-Prince, Haiti",Crush during the Shrove Tuesday festival after a man was electrocuted by high-voltage wires.,Haiti
G14,Crowd crushes,"Unnamed - Mymensingh, Bangladesh",50 others injured following a crush at a free clothing drive.,Bangladesh
G14,Crowd crushes,"Unnamed - Godavari River, Andhra Pradesh, India",Pilgrims died in a crush on the banks of the Godavari River. The Hindu pilgrims had gathered to take a dip in the river at the start of the Maha Pushkaralu festival.,India
G14,Crowd crushes,"Unnamed - Jharkhand, India",At least 50 more injured when people rushing the queue crushed those who fell and were asleep at the Baidyanath Temple.,India
G14,Crowd crushes,"2015 Mina stampede - Mina, Saudi Arabia",Overcrowding incident during the Hajj pilgrimage. A further 934 were injured.,Saudi Arabia
G14,Crowd crushes,"Unnamed - Taloqan, Afghanistan",Girls aged ten to fifteen were killed and another 42 were injured in a crush on a stairway while trying to escape the school during the 2015 Hindu Kush earthquake.,Afghanistan
G14,Crowd crushes,"2016 Ethiopian protests - Various, Ethiopia","Occurred during the annual thanksgiving festival of the Oromo people after police confronted protesters during the 2016 Ethiopian protests, resulting in a crush. The opposition political party Oromo Federalist Congress, claimed the number of people confirmed dead was 678. While the government claimed only tear gas and rubber bullets were fired by security forces on the ground as well as from the helicopter, eyewitness as well as some videos allegedly from the scene show security forces firing what seemed to be live rounds of ammunition.",Ethiopia
G14,Crowd crushes,"Unnamed - Varanasi, India","Occurred near the Rajghat Bridge when many times the expected number of people were heading towards a religious retreat, causing a crush, and later a stampede due to rumors that the bridge had collapsed.",India
G14,Crowd crushes,"Unnamed - Sagar Island, West Bengal, India","Occurred while pilgrims were trying to board vessels to Kolkata ahead of high tide, after a religious festival on the island.",India
G14,Crowd crushes,"Unnamed - Uíge, Angola","At least 61 others injured, during a crush in the Estádio 4 de Janeiro ahead of the opening match of the Angolan football season while trying to enter the stadium before a match between Santa Rita de Cássia FC and Recreativo do Libolo.",Angola
G14,Crowd crushes,"Unnamed - Lusaka, Zambia",28 others injured during a crush over food aid from a church group.,Zambia
G14,Crowd crushes,"Resorts World Manila attack - Pasay, Metro Manila, Philippines",Crush during the evacuation of the Resorts World Manila complex after a gunman opened fire and burned casino gambling equipment.,Philippines
G14,Crowd crushes,"Unnamed - Lilongwe, Malawi",7 of the dead were children. At least 40 others injured during a crush at the Bingu National Stadium during the nation's independence day celebrations while trying to enter before a match between Nyasa Big Bullets and Silver Strikers F.C.,Malawi
G14,Crowd crushes,"Unnamed - Dakar, Senegal",60 more injured in a crush when a wall collapsed at Demba Diop stadium as police fired tear gas at both sets of fans after a Senegalese League Cup final game between US Ouakam and Stade de Mbour.,Senegal
G14,Crowd crushes,"Unnamed - Mumbai, India",Hundreds more injured in a crush following heavy rains in a footbridge between Parel and Elphinstone road stations.,India
G14,Crowd crushes,"Unnamed - Sidi Boulaalam, Morocco",15 women were killed and 40 women injured after breaking down barriers during a food-aid distribution.,Morocco
G14,Crowd crushes,"Unnamed - Chittagong, Bangladesh",At least 50 more injured during a funeral ritual for former mayor A.B.M. Mohiuddin Chowdhury when people tried to rush down a sloped gateway into the Rima Community Center.,Bangladesh
G14,Crowd crushes,"Unnamed - Chittagong, Bangladesh",A further 50 were injured in a crush while collecting alms before Ramadan.,Bangladesh
G14,Crowd crushes,"El Paraíso stampede - Caracas, Venezuela",Stampede after a tear gas canister was detonated in a crowded club.,Venezuela
G14,Crowd crushes,"Corinaldo stampede - Corinaldo, Marche, Italy",Dozens more injured in a crush as concertgoers tried to leave the packed Lanterna Azzurra club after pepper spray was fired inside.,Italy
G14,Crowd crushes,"2019 Antananarivo crush - Antananarivo, Madagascar","101 more injured in a crush before a concert on the country's 59th Independence Day at the Mahamasina Municipal Stadium. The show was about to start and people believed they could enter the stadium and began to push, but the police left the doors closed.",Madagascar
G14,Crowd crushes,"Karbala stampede - Karbala, Iraq",Pilgrims killed and at least 100 others injured in a crush near a major Shiite shrine while marking Ashura.,Iraq
G14,Crowd crushes,"Unnamed - São Paulo, Brazil","Crush at a funk music party at Paraisópolis, São Paulo after police entered the venue in pursuit of suspects, causing panic.",Brazil
G14,Crowd crushes,"Qasem Soleimani funeral stampede - Kerman, Iran",200 more injured in a crush at the funeral of general Qasem Soleimani.,Iran
G14,Crowd crushes,"Unnamed - Moshi, Tanzania","16 more injured in crush at a church when more than 4,500 attendees were being ushered through an exit so that they could walk on ""anointed oil"" during a prayer meeting",Tanzania
G14,Crowd crushes,"Kakamega Primary School stampede - Kakamega, Kenya",Pupils killed in a staircase crush when they were leaving for the day.,Kenya
G14,Crowd crushes,"Unnamed - Diffa, Niger","Crush while relief aid was being distributed, mostly to refugees from Nigeria.",Niger
G14,Crowd crushes,"Los Olivos stampede - Lima, Peru","6 others injured in the Los Olivos District, when the police raided the Thomas Restobar nightclub to break up an illegal gathering amid the COVID-19 pandemic.",Peru
G14,Crowd crushes,"Afghanistan Visa crush - Jalalabad, Afghanistan","At least 15 killed (11 women) and many more injured in a crowd crush at a stadium, after thousands of people gathered to apply for permits to Pakistan when visa applications resumed after a seven-month pause due to the COVID-19 pandemic.",Afghanistan
G14,Crowd crushes,"2021 Dar es Salaam stampede - Dar es Salaam, Tanzania",Crush at Uhuru Stadium at the wake of President John Magufuli.,Tanzania
G14,Crowd crushes,"2021 Meron stampede - Meron, Israel","Dozens more critically wounded in a crush at the annual Meron pilgrimage during Lag BaOmer. Organizers estimated that 100,000 people, the vast majority of whom were Ultra-Orthodox Jews, arrived on the night of 29 April.",Israel
G14,Crowd crushes,"Astroworld Festival crowd crush - Houston, United States","Numerous others injured in a crowd surge at the Astroworld Festival hosted by rapper Travis Scott at NRG Park. 300 people were treated for injuries, and 11 people suffered cardiac arrest.",United States
