dat,type,group
Netherlands,Country,122
10/12/1945,Date,122
New Zealand,Country,123
24-10-1945,Date,123
Nicaragua,Country,124
24-10-1945,Date,124
Niger,Country,125
20-09-1960,Date,125
Nigeria,Country,126
7/10/1960,Date,126
North Macedonia,Country,127
8/4/1993,Date,127
Norway,Country,128
27-11-1945,Date,128
Oman,Country,129
7/10/1971,Date,129
Pakistan,Country,130
30-09-1947,Date,130
Palau,Country,131
15-12-1994,Date,131
Panama,Country,132
13-11-1945,Date,132
Papua New Guinea,Country,133
10/10/1975,Date,133
Paraguay,Country,134
24-10-1945,Date,134
Peru,Country,135
31-10-1945,Date,135
Philippines,Country,136
24-10-1945,Date,136
Poland,Country,137
24-10-1945,Date,137
Portugal,Country,138
14-12-1955,Date,138
Qatar,Country,139
21-09-1971,Date,139
Republic of Korea,Country,140
17-09-1991,Date,140
Republic of Moldova,Country,141
2/3/1992,Date,141
Romania,Country,142
14-12-1955,Date,142
Russian Federation,Country,143
24-10-1945,Date,143
Rwanda,Country,144
18-09-1962,Date,144
Saint Kitts and Nevis,Country,145
23-09-1983,Date,145
Saint Lucia,Country,146
18-09-1979,Date,146
Saint Vincent and the Grenadines,Country,147
16-09-1980,Date,147
Samoa,Country,148
15-12-1976,Date,148
San Marino,Country,149
2/3/1992,Date,149
Sao Tome and Principe,Country,150
16-09-1975,Date,150
Saudi Arabia,Country,151
24-10-1945,Date,151
Senegal,Country,152
28-09-1960,Date,152
Serbia,Country,153
1/11/2000,Date,153
Seychelles,Country,154
21-09-1976,Date,154
Sierra Leone,Country,155
27-09-1961,Date,155
Singapore,Country,156
21-09-1965,Date,156
Slovakia,Country,157
19-01-1993,Date,157
Slovenia,Country,158
22-05-1992,Date,158
Solomon Islands,Country,159
19-09-1978,Date,159
Somalia,Country,160
20-09-1960,Date,160
South Africa,Country,161
7/11/1945,Date,161
South Sudan,Country,162
14-07-2011,Date,162
Spain,Country,163
14-12-1955,Date,163
Sri Lanka,Country,164
14-12-1955,Date,164
Sudan,Country,165
12/11/1956,Date,165
Suriname,Country,166
4/12/1975,Date,166
Sweden,Country,167
19-11-1946,Date,167
Switzerland,Country,168
10/9/2002,Date,168
Syrian Arab Republic,Country,169
24-10-1945,Date,169
Tajikistan,Country,170
2/3/1992,Date,170
Thailand,Country,171
15-12-1946,Date,171
Timor-Leste,Country,172
27-09-2002,Date,172
Togo,Country,173
20-09-1960,Date,173
Tonga,Country,174
14-09-1999,Date,174
Trinidad and Tobago,Country,175
18-09-1962,Date,175
Tunisia,Country,176
12/11/1956,Date,176
Türkiye,Country,177
24-10-1945,Date,177
Turkmenistan,Country,178
2/3/1992,Date,178
Tuvalu,Country,179
5/9/2000,Date,179
Uganda,Country,180
25-10-1962,Date,180
Ukraine,Country,181
24-10-1945,Date,181
United Arab Emirates,Country,182
9/12/1971,Date,182
United Kingdom of Great Britain and Northern Ireland,Country,183
24-10-1945,Date,183
United Republic of Tanzania,Country,184
14-12-1961,Date,184
United States of America,Country,185
24-10-1945,Date,185
Uruguay,Country,186
18-12-1945,Date,186
Uzbekistan,Country,187
2/3/1992,Date,187
Vanuatu,Country,188
15-09-1981,Date,188
"Venezuela, Bolivarian Republic of",Country,189
15-11-1945,Date,189
Viet Nam,Country,190
20-09-1977,Date,190
Yemen,Country,191
30-09-1947,Date,191
Zambia,Country,192
1/12/1964,Date,192
Zimbabwe,Country,193
25-08-1980,Date,193
